Unnamed: 0,BAL,CLE
First Downs,16,13
Rush-Yds-TDs,33-131-2,25-93-0
Cmp-Att-Yd-TD-INT,15-19-186-2-0,19-36-121-0-3
Sacked-Yards,3-21,4-48
Net Pass Yards,165,73
Total Yards,296,166
Fumbles-Lost,2-1,1-0
Turnovers,1,3
Penalties-Yards,8-92,7-42
Third Down Conv.,4-12,4-16
Fourth Down Conv.,1-1,1-1
Time of Possession,29:50,30:10
