Unnamed: 0,TEN,NYG
First Downs,31,24
Rush-Yds-TDs,32-142-1,25-62-1
Cmp-Att-Yd-TD-INT,30-43-334-3-0,22-36-283-2-0
Sacked-Yards,1-0,1-0
Net Pass Yards,334,283
Total Yards,476,345
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,12-121,6-55
Third Down Conv.,7-14,4-10
Fourth Down Conv.,2-2,0-0
Time of Possession,35:47,29:13
