Unnamed: 0,WAS,DAL
First Downs,22,21
Rush-Yds-TDs,37-161-0,11-44-0
Cmp-Att-Yd-TD-INT,20-31-231-2-0,28-47-300-3-1
Sacked-Yards,2-11,0-0
Net Pass Yards,220,300
Total Yards,381,344
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,5-30,3-15
Third Down Conv.,6-15,6-12
Fourth Down Conv.,0-0,0-0
Time of Possession,38:09,21:51
