Quarter,Time,Down,ToGo,Location,WAS,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"Nick Folk kicks off 70 yards, returned by Rock Cartwright for 20 yards (tackle by Kevin Burnett)",0.000,0.280
1,14:56,1,10,WAS 20,0,0,Jason Campbell pass complete short right to Antwaan Randle El for 4 yards (tackle by Terence Newman),0.280,0.270
1,14:32,2,6,WAS 24,0,0,Clinton Portis left tackle for no gain (tackle by Jay Ratliff),0.270,-0.430
1,13:53,3,6,WAS 24,0,0,Jason Campbell pass complete short right to Santana Moss for 9 yards (tackle by Pacman Jones),-0.430,1.140
1,13:15,1,10,WAS 33,0,0,Jason Campbell pass complete short right to Clinton Portis for 10 yards (tackle by Bradie James),1.140,1.800
1,12:36,1,10,WAS 43,0,0,Jason Campbell pass complete short left to Santana Moss for 13 yards (tackle by DeMarcus Ware),1.800,2.650
1,12:01,1,10,DAL 44,0,0,Clinton Portis left guard for 3 yards (tackle by Jay Ratliff),2.650,2.520
1,11:26,2,7,DAL 41,0,0,Clinton Portis right end for 6 yards (tackle by Zach Thomas),2.520,2.610
1,10:40,,,,0,0,Timeout #1 by Washington Redskins,0.000,2.610
1,10:40,3,1,DAL 35,0,0,"Penalty on Lorenzo Alexander: False Start, 5 yards (no play)",2.610,1.950
1,10:40,3,6,DAL 40,0,0,Jason Campbell pass incomplete short right intended for Santana Moss (defended by Pacman Jones),1.950,0.590
1,10:38,4,6,DAL 40,0,0,"Durant Brooks punts 30 yards, fair catch by Patrick Crayton",0.590,0.380
1,10:31,1,10,DAL 10,0,0,Tony Romo pass complete short left to Terrell Owens for 7 yards (tackle by Shawn Springs),-0.380,-0.090
1,10:03,2,3,DAL 17,0,0,Marion Barber right tackle for 5 yards (tackle by Chris Horton),-0.090,0.410
1,9:25,1,10,DAL 22,0,0,Tony Romo pass complete short right to Miles Austin for 13 yards (tackle by Carlos Rogers),0.410,1.270
1,8:41,1,10,DAL 35,0,0,Tony Romo pass incomplete deep right intended for Terrell Owens,1.270,0.720
1,8:33,2,10,DAL 35,0,0,Marion Barber left tackle for no gain (tackle by Rocky McIntosh),0.720,0.040
1,7:53,3,10,DAL 35,0,0,Tony Romo pass complete short middle to Jason Witten for 6 yards (tackle by Chris Horton),0.040,-0.650
1,7:17,4,4,DAL 41,0,0,"Mat McBriar punts 54 yards, returned by Antwaan Randle El for 13 yards (tackle by Kevin Burnett)",-0.650,-0.040
1,7:05,1,10,WAS 18,0,0,Clinton Portis left end for 1 yard (tackle by Chris L. Canty and DeMarcus Ware),0.040,-0.320
1,6:27,2,9,WAS 19,0,0,Jason Campbell pass incomplete short right intended for Chris Cooley (defended by Bradie James),-0.320,-1.040
1,6:23,3,9,WAS 19,0,0,Jason Campbell sacked by Chris L. Canty for -7 yards,-1.040,-2.490
1,6:00,4,16,WAS 12,0,0,"Durant Brooks punts 60 yards, returned by Pacman Jones for 8 yards (tackle by Mike Sellers)",-2.490,-1.330
1,5:47,1,10,DAL 36,0,0,Tony Romo pass complete short left to Marion Barber for 5 yards (tackle by London Fletcher),1.330,1.470
1,5:19,2,5,DAL 41,0,0,Marion Barber up the middle for -1 yards (tackle by Rocky McIntosh),1.470,0.630
1,4:36,3,6,DAL 40,0,0,Tony Romo pass incomplete short left intended for Jason Witten (defended by Fred Smoot),0.630,-0.720
1,4:20,4,6,DAL 40,0,0,"Mat McBriar punts 51 yards, returned by Antwaan Randle El for 11 yards (tackle by Justin Rogers)",-0.720,-0.280
1,4:20,1,10,WAS 20,0,0,Jason Campbell pass incomplete deep middle intended for Santana Moss,0.280,-0.270
1,4:15,2,10,WAS 20,0,0,Ladell Betts left tackle for 3 yards (tackle by Terence Newman),-0.270,-0.560
1,3:35,3,7,WAS 23,0,0,Jason Campbell sacked by DeMarcus Ware for -4 yards,-0.560,-2.140
1,3:15,4,11,WAS 19,0,0,"Durant Brooks punts 44 yards, returned by Pacman Jones for 3 yards (tackle by Kareem Moore)",-2.140,-1.600
1,3:05,1,10,DAL 40,0,0,Tony Romo pass incomplete short right intended for Terrell Owens,1.600,1.050
1,3:01,2,10,DAL 40,0,0,Tony Romo pass complete short left to Patrick Crayton for 5 yards (tackle by Carlos Rogers),1.050,1.030
1,2:40,3,5,DAL 45,0,0,Tony Romo pass complete short middle to Patrick Crayton for 23 yards (tackle by Fred Smoot),1.030,3.450
1,1:49,1,10,WAS 32,0,0,Tony Romo pass complete short right to Martellus Bennett for no gain,3.450,2.900
1,1:07,2,10,WAS 32,0,0,Terrell Owens left end for 6 yards (tackle by Chris Horton),2.900,3.010
1,0:40,3,4,WAS 26,0,0,"Tony Romo pass incomplete deep right intended for Terrell Owens. Penalty on Carlos Rogers: Defensive Holding, 5 yards (no play)",3.010,4.170
1,0:35,1,10,WAS 21,0,6,"Tony Romo pass complete deep left to Jason Witten for 21 yards, touchdown",4.170,7.000
1,,,,WAS 2,0,7,Nick Folk kicks extra point good,0.000,0.000
1,,,,DAL 30,0,7,"Nick Folk kicks off 70 yards, returned by Rock Cartwright for 21 yards (tackle by Keith Davis)",0.000,0.340
1,0:24,1,10,WAS 21,0,7,Jason Campbell pass complete short middle to James Thrash for 5 yards (tackle by Zach Thomas),0.340,0.480
Quarter,Time,Down,ToGo,Location,WAS,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,WAS 26,0,7,Jason Campbell pass complete short left to Antwaan Randle El for 17 yards (tackle by Ken Hamlin),0.480,1.800
2,14:21,1,10,WAS 43,0,7,Jason Campbell pass complete short middle to Santana Moss for 7 yards (tackle by Anthony Henry),1.800,2.200
2,13:57,2,3,DAL 50,0,7,Clinton Portis right tackle for 7 yards (tackle by Jay Ratliff and Bradie James),2.200,2.720
2,13:21,1,10,DAL 43,0,7,Antwaan Randle El left end for 5 yards (tackle by Bradie James),2.720,2.850
2,12:41,2,5,DAL 38,0,7,Clinton Portis right end for 7 yards (tackle by Terence Newman and Bradie James),2.850,3.510
2,11:58,1,10,DAL 31,0,7,Jason Campbell pass complete short left to Antwaan Randle El for 13 yards (tackle by Anthony Henry),3.510,4.370
2,11:17,1,10,DAL 18,0,7,Jason Campbell pass complete short left to Santana Moss for 15 yards (tackle by Anthony Henry),4.370,6.510
2,10:32,1,3,DAL 3,0,7,Jason Campbell pass incomplete short left intended for Santana Moss,6.510,5.530
2,10:29,2,3,DAL 3,6,7,"Jason Campbell pass complete short right to James Thrash for 3 yards, touchdown",5.530,7.000
2,,,,DAL 2,7,7,Shaun Suisham kicks extra point good,0.000,0.000
2,,,,WAS 30,7,7,"Shaun Suisham kicks off 66 yards, returned by Felix Jones for 5 yards (tackle by Chris Wilson)",0.000,-0.380
2,10:20,1,10,DAL 9,7,7,Marion Barber left end for 1 yard (tackle by London Fletcher),-0.380,-0.710
2,9:44,2,9,DAL 10,7,7,Tony Romo pass complete short left to Jason Witten for 6 yards (tackle by Rocky McIntosh),-0.710,-0.600
2,8:58,3,3,DAL 16,7,7,Tony Romo pass incomplete short right intended for Terrell Owens (defended by Shawn Springs),-0.600,-2.390
2,8:53,4,3,DAL 16,7,7,"Penalty on Pat Watkins: False Start, 5 yards (no play)",-2.390,-2.490
2,8:53,4,8,DAL 11,7,7,Mat McBriar punts 40 yards,-2.490,-2.190
2,8:46,1,10,WAS 49,7,7,Jason Campbell pass incomplete (defended by Marcus R. Spears),2.190,1.650
2,8:43,2,10,WAS 49,7,7,Clinton Portis right end for 6 yards (tackle by Jay Ratliff and Chris L. Canty),1.650,1.750
2,7:59,3,4,DAL 45,7,7,Jason Campbell pass complete short middle to Chris Cooley for 9 yards (tackle by Terence Newman). Penalty on DeMarcus Ware: Defensive Offside (Declined),1.750,3.180
2,7:34,1,10,DAL 36,7,7,Jason Campbell pass complete deep right to Santana Moss for 28 yards,3.180,5.370
2,7:03,1,8,DAL 8,7,7,Clinton Portis right tackle for 5 yards (tackle by Chris L. Canty),5.370,5.530
2,6:20,2,3,DAL 3,7,7,Clinton Portis left tackle for 1 yard (tackle by DeMarcus Ware and Bradie James),5.530,4.950
2,5:33,3,2,DAL 2,13,7,"Jason Campbell pass complete short middle to Antwaan Randle El for 2 yards, touchdown",4.950,7.000
2,,,,DAL 2,14,7,Shaun Suisham kicks extra point good,0.000,0.000
2,,,,WAS 30,14,7,"Shaun Suisham kicks off 65 yards, returned by Felix Jones for 22 yards (tackle by Alfred Fincher)",0.000,0.740
2,5:21,1,10,DAL 27,14,7,Tony Romo pass incomplete short right intended for Terrell Owens,0.740,0.200
2,5:15,2,10,DAL 27,14,7,Marion Barber up the middle for 3 yards (tackle by London Fletcher and Marcus Washington),0.200,-0.100
2,4:33,3,7,DAL 30,14,7,Tony Romo pass incomplete short left intended for Miles Austin,-0.100,-1.370
2,4:28,4,7,DAL 30,14,7,"Mat McBriar punts 45 yards, returned by Antwaan Randle El for 14 yards (tackle by Kevin Burnett)",-1.370,-1.530
2,4:16,1,10,WAS 39,14,7,Jason Campbell pass complete deep right to Santana Moss for 53 yards (tackle by Terence Newman),1.530,5.370
2,3:25,1,8,DAL 8,14,7,Ladell Betts up the middle for 4 yards (tackle by Bradie James and Pat Watkins),5.370,5.340
2,2:46,2,4,DAL 4,14,7,Ladell Betts left tackle for 2 yards (tackle by Zach Thomas and Stephen Bowen),5.340,4.950
2,2:00,3,2,DAL 2,14,7,Jason Campbell pass incomplete short left intended for Santana Moss,4.950,3.250
2,1:56,4,2,DAL 2,17,7,Shaun Suisham 20 yard field goal good,3.250,3.000
2,,,,WAS 30,17,7,"Shaun Suisham kicks off 69 yards, returned by Orlando Scandrick for 15 yards (tackle by Kareem Moore)",0.000,-0.140
2,1:47,1,10,DAL 16,17,7,Tony Romo pass incomplete short right intended for Jason Witten,-0.140,-0.660
2,1:43,2,10,DAL 16,17,7,Tony Romo pass complete short middle to Terrell Owens for 4 yards (tackle by Carlos Rogers),-0.660,-0.820
2,1:23,3,6,DAL 20,17,7,Tony Romo left end for 7 yards (tackle by Reed Doughty),-0.820,0.740
2,1:00,1,10,DAL 27,17,7,Tony Romo pass complete deep middle to Patrick Crayton for 26 yards (tackle by Shawn Springs),0.740,2.460
2,0:47,,,,17,7,Timeout #1 by Dallas Cowboys,0.000,2.460
2,0:47,1,10,WAS 47,17,7,Tony Romo pass complete short left to Patrick Crayton for 5 yards (tackle by Leigh Torrence),2.460,2.590
2,0:20,2,5,WAS 42,17,7,Tony Romo pass complete short right to Marion Barber for 6 yards (tackle by Kareem Moore),2.590,3.180
2,0:19,,,,17,7,Timeout #2 by Dallas Cowboys,0.000,0.000
2,0:19,,,,17,7,Timeout #2 by Washington Redskins,0.000,3.180
2,0:19,1,10,WAS 36,17,7,Tony Romo pass incomplete short right intended for Patrick Crayton,3.180,2.640
2,0:14,2,10,WAS 36,17,7,Tony Romo pass complete short left to Patrick Crayton for 9 yards,2.640,3.140
2,0:09,3,1,WAS 27,17,7,Tony Romo pass complete short left to Patrick Crayton for 9 yards,3.140,4.370
2,0:09,1,10,WAS 18,17,10,Nick Folk 36 yard field goal good,4.370,3.000
Quarter,Time,Down,ToGo,Location,WAS,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 30,17,10,"Shaun Suisham kicks off 45 yards, returned by Anthony Spencer for 18 yards (tackle by Shaun Suisham)",0.000,1.800
3,14:55,1,10,DAL 43,17,10,Tony Romo pass complete short left to Terrell Owens for 18 yards (tackle by Carlos Rogers),1.800,2.980
3,14:22,1,10,WAS 39,17,10,Marion Barber up the middle for 3 yards (tackle by Demetric Evans),2.980,2.850
3,13:44,2,7,WAS 36,17,10,Tony Romo pass complete short left to Terrell Owens for 11 yards (tackle by Shawn Springs),2.850,3.910
3,13:07,1,10,WAS 25,17,10,Marion Barber right end for 15 yards (tackle by Carlos Rogers),3.910,4.910
3,12:33,1,10,WAS 10,17,16,"Tony Romo pass complete short middle to Terrell Owens for 10 yards, touchdown",4.910,7.000
3,,,,WAS 2,17,17,Nick Folk kicks extra point good,0.000,0.000
3,,,,DAL 30,17,17,"Nick Folk kicks off 65 yards, returned by Rock Cartwright for 30 yards (tackle by Anthony Spencer)",0.000,1.270
3,12:19,1,10,WAS 35,17,17,Jason Campbell pass complete short left to Clinton Portis for 4 yards (tackle by Bradie James),1.270,1.260
3,11:37,2,6,WAS 39,17,17,Clinton Portis left tackle for 4 yards (tackle by Zach Thomas),1.260,1.090
3,10:50,3,2,WAS 43,17,17,Clinton Portis left end for 31 yards (tackle by Ken Hamlin),1.090,3.840
3,10:02,1,10,DAL 26,17,17,Ladell Betts up the middle for 3 yards (tackle by Ken Hamlin and Pat Watkins),3.840,3.700
3,9:23,2,7,DAL 23,17,17,Jason Campbell pass complete short left to Santana Moss for 17 yards (tackle by Zach Thomas),3.700,5.830
3,8:48,1,6,DAL 6,17,17,"Clinton Portis left end for 6 yards. Penalty on Casey Rabach: Offensive Holding, 10 yards (no play)",5.830,4.310
3,8:39,1,16,DAL 16,17,17,Jason Campbell pass incomplete short middle intended for Santana Moss,4.310,3.340
3,8:35,2,16,DAL 16,17,17,Jason Campbell up the middle for 6 yards (tackle by Jason Hatcher),3.340,3.130
3,7:51,3,10,DAL 10,17,17,"Jason Campbell pass complete to Antwaan Randle El for 10 yards. Penalty on Casey Rabach: Ineligible Downfield Pass, 5 yards (no play)",3.130,2.930
3,7:41,3,15,DAL 15,17,17,Jason Campbell pass incomplete short middle intended for Chris Cooley,2.930,2.440
3,7:35,4,15,DAL 15,20,17,Shaun Suisham 33 yard field goal good,2.440,3.000
3,,,,WAS 30,20,17,"Shaun Suisham kicks off 75 yards, touchback",0.000,0.280
3,7:31,1,10,DAL 20,20,17,Tony Romo pass complete short middle to Terrell Owens for 9 yards (tackle by Shawn Springs),0.280,0.950
3,6:49,2,1,DAL 29,20,17,Tony Romo pass incomplete deep left intended for Patrick Crayton,0.950,0.230
3,6:44,3,1,DAL 29,20,17,Terrell Owens right end for 5 yards (tackle by London Fletcher),0.230,1.200
3,6:00,1,10,DAL 34,20,17,Tony Romo pass incomplete short middle intended for Patrick Crayton,1.200,0.660
3,5:55,2,10,DAL 34,20,17,Tony Romo pass complete short middle to Jason Witten for 11 yards (tackle by Reed Doughty). Penalty on Fred Smoot: Defensive Holding (Declined),0.660,1.930
3,5:28,1,10,DAL 45,20,17,Tony Romo pass incomplete short left intended for Terrell Owens,1.930,1.380
3,5:24,2,10,DAL 45,20,17,"Tony Romo pass complete short left to Tony Curtis for -4 yards (tackle by London Fletcher). Tony Curtis fumbles (forced by London Fletcher), ball out of bounds at DAL-41",1.380,0.170
3,5:18,3,14,DAL 41,20,17,Tony Romo pass incomplete deep middle intended for Terrell Owens,0.170,-0.650
3,5:11,4,14,DAL 41,20,17,"Mat McBriar punts 59 yards, touchback",-0.650,-0.280
3,5:06,1,10,WAS 20,20,17,Jason Campbell pass complete short right to Santana Moss for 3 yards (tackle by Bradie James),0.280,0.140
3,4:33,2,7,WAS 23,20,17,Clinton Portis left end for 13 yards (tackle by Bradie James and Ken Hamlin),0.140,1.330
