Unnamed: 0,NWE,BAL
First Downs,21,19
Rush-Yds-TDs,34-142-2,28-121-1
Cmp-Att-Yd-TD-INT,14-26-172-1-0,23-42-262-0-3
Sacked-Yards,2-14,4-25
Net Pass Yards,158,237
Total Yards,300,358
Fumbles-Lost,0-0,1-1
Turnovers,0,4
Penalties-Yards,7-58,9-83
Third Down Conv.,4-13,5-14
Fourth Down Conv.,0-0,0-3
Time of Possession,31:58,28:02
