Quarter,Time,Tm,Detail,NWE,BAL
1.0,9:39,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),7,0
,4:51,Patriots,Shane Vereen 4 yard pass from Tom Brady (Stephen Gostkowski kick),14,0
2.0,14:55,Patriots,Stephen Gostkowski 45 yard field goal,17,0
3.0,7:15,Patriots,Stephen Gostkowski 42 yard field goal,20,0
4.0,9:21,Ravens,Joe Flacco 1 yard rush (Justin Tucker kick),20,7
,2:05,Patriots,LeGarrette Blount 7 yard rush (Stephen Gostkowski kick),27,7
,1:59,Patriots,Chandler Jones defensive fumble recovery in end zone (Stephen Gostkowski kick),34,7
,0:40,Patriots,Tavon Wilson 74 yard interception return (Stephen Gostkowski kick),41,7
