#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:20,BAL 7,3,0:54,5,Punt
2,1,9:39,BAL 20,3,1:22,12,Interception
3,1,4:51,BAL 20,5,2:33,5,Punt
4,2,14:55,BAL 21,6,3:00,14,Punt
5,2,8:11,BAL 10,7,3:41,26,Punt
6,2,0:16,BAL 20,1,0:16,-1,End of Half
7,3,15:00,BAL 20,7,2:43,41,Downs
8,3,11:48,BAL 19,4,1:23,20,Interception
9,3,7:15,BAL 28,10,4:19,68,Downs
10,3,0:58,NWE 38,6,1:39,19,Missed FG
11,4,12:09,BAL 10,9,2:48,90,Touchdown
12,4,7:56,BAL 31,6,1:19,17,Downs
13,4,2:05,BAL 20,1,0:06,-20,Fumble
14,4,1:59,BAL 20,6,1:19,41,Interception
15,4,0:40,BAL 20,1,0:40,9,End of Game
