Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.610
1,14:39,1,10,BAL 25,0,0,Terrance West right guard for 5 yards (tackle by Michael Johnson),0.610,0.740
1,14:38,2,5,BAL 30,0,0,Joe Flacco pass complete short right to Terrance West for 6 yards (tackle by Vontaze Burfict and Darqueze Dennard),0.740,1.330
1,14:06,1,10,BAL 36,0,0,Joe Flacco pass incomplete short right intended for Terrance West (defended by Carlos Dunlap),1.330,0.790
1,14:00,2,10,BAL 36,0,0,Terrance West left end for 1 yard (tackle by Michael Johnson),0.790,0.230
1,13:16,3,9,BAL 37,0,0,Joe Flacco pass complete short middle to Kamar Aiken for 11 yards (tackle by Adam Jones),0.230,2.130
1,12:39,1,10,BAL 48,0,0,Kenneth Dixon right guard for 2 yards (tackle by Vontaze Burfict and Pat Sims),2.130,1.850
1,12:12,2,8,,0,0,Joe Flacco pass complete short left to Kenneth Dixon for 16 yards (tackle by Darqueze Dennard),1.850,3.310
1,11:55,1,10,CIN 34,0,0,Kenneth Dixon right end for 15 yards (tackle by George Iloka and Josh Shaw),3.310,4.310
1,11:20,1,10,CIN 19,0,0,Terrance West left guard for 2 yards (tackle by Pat Sims),4.310,4.030
1,10:54,2,8,CIN 17,0,0,Joe Flacco pass complete short right to Steve Smith for 3 yards (tackle by Rey Maualuga),4.030,3.760
1,10:21,3,5,CIN 14,0,6,"Joe Flacco pass complete short right to Breshad Perriman for 14 yards, touchdown",3.760,7.000
1,10:15,,,CIN 15,0,7,Justin Tucker kicks extra point good,0.000,0.000
1,10:15,,,BAL 35,0,7,"Justin Tucker kicks off 67 yards, returned by Alex Erickson for 22 yards (tackle by Matt Elam)",0.000,-0.280
1,10:09,1,10,CIN 20,0,7,Jeremy Hill left guard for 3 yards (tackle by Lawrence Guy),0.280,0.140
1,9:36,2,7,CIN 23,0,7,Andy Dalton pass incomplete short right intended for Cody Core,0.140,-0.560
1,9:32,3,7,CIN 23,0,7,"Andy Dalton pass complete deep middle to Tyler Boyd for 18 yards (tackle by Jerraud Powers). Penalty on Tyler Eifert: Offensive Holding, 10 yards (no play)",-0.560,-2.190
1,9:03,3,17,CIN 13,0,7,Andy Dalton right end for 2 yards (tackle by Albert McClellan),-2.190,-2.440
1,8:33,4,15,CIN 15,0,7,"Kevin Huber punts 49 yards, returned by Devin Hester for 28 yards (tackle by Ryan Hewitt)",-2.440,-3.180
1,8:20,1,10,CIN 36,0,7,Joe Flacco pass complete short right to Kenneth Dixon for 3 yards (tackle by Vontaze Burfict),3.180,3.040
1,7:55,2,7,CIN 33,0,7,Joe Flacco pass incomplete short left intended for Kyle Juszczyk,3.040,2.350
1,7:51,3,7,CIN 33,0,7,Joe Flacco pass complete deep middle to Kamar Aiken for 19 yards (tackle by George Iloka),2.350,4.650
1,7:15,1,10,CIN 14,0,7,Joe Flacco pass complete short right to Terrance West for 1 yard (tackle by Josh Shaw),4.650,4.160
1,6:46,2,9,CIN 13,0,7,Terrance West right tackle for 4 yards (tackle by Karlos Dansby),4.160,4.050
1,6:11,3,5,CIN 9,0,7,"Joe Flacco sacked by Carlos Dunlap for -10 yards. Penalty on Steve Smith: Unnecessary Roughness, 15 yards",4.050,1.060
1,5:44,4,30,CIN 34,0,10,Justin Tucker 52 yard field goal good,1.060,3.000
1,5:39,,,BAL 35,0,10,"Justin Tucker kicks off 63 yards, returned by Alex Erickson for 25 yards (tackle by Darren Waller)",0.000,-0.740
1,5:32,1,10,CIN 27,0,10,Andy Dalton pass complete short left to Jeremy Hill for 9 yards (tackle by Shareece Wright),0.740,1.410
1,4:55,2,1,CIN 36,0,10,Andy Dalton pass complete short right to Ryan Hewitt for 5 yards (tackle by Albert McClellan),1.410,1.660
1,4:20,1,10,CIN 41,0,10,Andy Dalton pass incomplete deep right intended for James Wright (defended by Eric Weddle),1.660,1.120
1,4:12,2,10,CIN 41,0,10,Jeremy Hill right guard for 7 yards (tackle by Brandon Williams),1.120,1.360
1,3:28,3,3,CIN 48,0,10,Andy Dalton pass complete short right to James Wright for 9 yards (tackle by Tavon Young),1.360,2.720
1,2:57,1,10,BAL 43,0,10,Jeremy Hill middle for 2 yards (tackle by Brandon Williams),2.720,2.450
1,2:15,2,8,BAL 41,0,10,Andy Dalton pass complete short right to Brandon LaFell for 12 yards (tackle by Zach Orr),2.450,3.640
1,1:37,1,10,BAL 29,0,10,Jeremy Hill left guard for no gain (tackle by Zach Orr),3.640,3.100
1,0:52,2,10,BAL 29,0,10,Andy Dalton pass incomplete short middle intended for Tyler Eifert,3.100,2.410
1,0:47,3,10,BAL 29,0,10,Andy Dalton pass complete short right to Tyler Boyd for 18 yards (tackle by Jerraud Powers),2.410,4.840
1,0:12,1,10,BAL 11,0,10,Andy Dalton pass complete short middle to Jeremy Hill for 7 yards (tackle by Zach Orr),4.840,5.470
Quarter,Time,Down,ToGo,Location,CIN,BAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,BAL 4,0,10,Andy Dalton pass incomplete short right intended for Tyler Eifert (defended by Tavon Young),5.470,4.670
2,14:56,3,3,BAL 4,0,10,Andy Dalton pass incomplete short left intended for Brandon LaFell,4.670,3.030
2,14:53,4,3,BAL 4,3,10,Mike Nugent 23 yard field goal good,3.030,3.000
2,14:50,,,CIN 35,3,10,"Mike Nugent kicks off 60 yards, returned by Devin Hester for 18 yards (tackle by Vincent Rey)",0.000,-0.480
2,14:45,1,10,BAL 23,3,10,Joe Flacco pass incomplete short middle intended for Dennis Pitta is intercepted by Rey Maualuga at BAL-28 and returned for 9 yards,0.480,-4.310
2,14:36,1,10,BAL 19,3,10,Jeremy Hill left guard for 3 yards (tackle by Michael Pierce),4.310,4.180
2,13:57,2,7,BAL 16,3,10,Jeremy Hill left end for no gain (tackle by Brandon Williams and Zach Orr),4.180,3.410
2,13:57,3,7,BAL 16,3,10,"Andy Dalton for no gain. Andy Dalton fumbles, recovered by Elvis Dumervil at BAL-19 (tackle by Andy Dalton)",3.410,-0.150
2,13:17,1,10,BAL 19,3,10,Terrance West right guard for 16 yards (tackle by Darqueze Dennard),0.150,1.270
2,12:50,1,10,BAL 35,3,10,Terrance West right guard for no gain (tackle by Pat Sims),1.270,0.720
2,12:20,2,10,BAL 35,3,10,Joe Flacco pass incomplete deep middle intended for Breshad Perriman,0.720,0.040
2,12:12,3,10,BAL 35,3,10,Joe Flacco right end for 16 yards (tackle by Darqueze Dennard),0.040,2.320
2,11:33,1,10,CIN 49,3,10,Kenneth Dixon right guard for 3 yards (tackle by Pat Sims and Karlos Dansby),2.320,2.190
2,11:05,2,7,CIN 46,3,10,Joe Flacco pass incomplete,2.190,1.490
2,11:01,3,7,CIN 46,3,10,Joe Flacco pass incomplete short right intended for Breshad Perriman,1.490,0.200
2,10:57,4,7,CIN 46,3,10,Sam Koch punts 39 yards,0.200,0.380
2,10:47,1,10,CIN 7,3,10,Jeremy Hill left guard for no gain (tackle by Matt Judon),-0.380,-0.780
2,10:09,2,10,CIN 7,3,10,Andy Dalton pass complete short middle to Tyler Boyd for 6 yards (tackle by Jerraud Powers),-0.780,-0.720
2,9:24,3,4,CIN 13,3,10,Andy Dalton pass complete short middle to James Wright for 3 yards (tackle by Lardarius Webb and Zach Orr),-0.720,0.000
,,,,,,,"BAL challenged the first down ruling, and the original play was overturned.",,
2,8:41,,,,3,10,Timeout #1 by Cincinnati Bengals,0.000,2.390
2,8:41,4,1,CIN 16,3,10,"Kevin Huber punts 41 yards, returned by Devin Hester for 6 yards (tackle by Chykie Brown)",-2.390,-2.190
2,8:32,1,10,BAL 49,3,10,Joe Flacco pass complete short right to Kenneth Dixon for 9 yards (tackle by Josh Shaw),2.190,2.860
2,8:03,2,1,CIN 42,3,10,Kenneth Dixon right guard for -2 yards (tackle by Vontaze Burfict). Penalty on Ronnie Stanley: Illegal Formation (Declined),2.860,1.880
2,7:37,3,3,CIN 44,3,10,Terrance West left end for -2 yards (tackle by Wallace Gilberry),1.880,0.200
2,7:03,4,5,CIN 46,3,10,"Sam Koch punts 39 yards, fair catch by Alex Erickson",0.200,0.380
2,6:57,1,10,CIN 7,3,10,Jeremy Hill middle for 3 yards (tackle by Eric Weddle),-0.380,-0.560
2,6:20,2,7,CIN 10,3,10,Andy Dalton pass complete short middle to Brandon LaFell for 23 yards (tackle by Shareece Wright),-0.560,1.140
2,5:48,1,10,CIN 33,3,10,Jeremy Hill left guard for 2 yards (tackle by Zach Orr and Shareece Wright),1.140,0.860
