Unnamed: 0,CIN,BAL
First Downs,22,16
Rush-Yds-TDs,20-64-0,30-92-0
Cmp-Att-Yd-TD-INT,26-48-283-1-0,25-36-234-1-1
Sacked-Yards,3-22,2-15
Net Pass Yards,261,219
Total Yards,325,311
Fumbles-Lost,4-2,1-0
Turnovers,2,1
Penalties-Yards,2-15,8-69
Third Down Conv.,5-16,5-16
Fourth Down Conv.,1-1,1-2
Time of Possession,28:43,31:17
