Unnamed: 0,PIT,BAL
First Downs,17,14
Rush-Yds-TDs,24-54-0,20-43-0
Cmp-Att-Yd-TD-INT,22-38-253-1-1,17-33-266-1-0
Sacked-Yards,3-19,4-40
Net Pass Yards,234,226
Total Yards,288,269
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,9-61,9-53
Third Down Conv.,4-14,4-13
Fourth Down Conv.,1-1,1-2
Time of Possession,34:08,25:52
