Quarter,Time,Tm,Detail,LAC,HOU
1.0,12:00,Chargers,Gerald Everett 18 yard pass from Justin Herbert (Dustin Hopkins kick),7,0
2.0,12:57,Chargers,Austin Ekeler 10 yard rush (Dustin Hopkins kick),14,0
,10:00,Chargers,Austin Ekeler 20 yard rush (Dustin Hopkins kick),21,0
,9:48,Texans,Dameon Pierce 75 yard rush (Ka'imi Fairbairn kick),21,7
,4:35,Chargers,Dustin Hopkins 23 yard field goal,24,7
,0:00,Chargers,Dustin Hopkins 37 yard field goal,27,7
3.0,1:12,Texans,Rex Burkhead 8 yard pass from Davis Mills (Ka'imi Fairbairn kick),27,14
4.0,10:02,Texans,Brandin Cooks 18 yard pass from Davis Mills (Ka'imi Fairbairn kick),27,21
,8:30,Texans,Ka'imi Fairbairn 40 yard field goal,27,24
,2:28,Chargers,Austin Ekeler 14 yard pass from Justin Herbert (Dustin Hopkins kick),34,24
