Quarter,Time,Down,ToGo,Location,PHI,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Alex Henery kicks off 70 yards, returned by Jeremy Stewart for 21 yards (tackle by Casey Matthews). Penalty on Phillip Adams: Offensive Holding, 8 yards",0.000,0.380
1,14:55,1,10,OAK 8,0,0,Terrelle Pryor right tackle for 5 yards (tackle by Mychal Kendricks),-0.380,-0.410
1,14:34,2,5,OAK 13,0,0,Darren McFadden left tackle for 1 yard (tackle by Trent Cole),-0.410,-0.720
1,13:53,3,4,OAK 14,0,0,Terrelle Pryor pass complete short right to Denarius Moore for 27 yards (tackle by Earl Wolff),-0.720,1.660
1,13:10,1,10,OAK 41,0,0,Terrelle Pryor sacked by Trent Cole for -6 yards,1.660,0.310
1,12:22,2,16,OAK 35,0,0,Terrelle Pryor pass complete short right to Juron Criner for 6 yards (tackle by DeMeco Ryans),0.310,0.430
1,11:41,3,10,OAK 41,0,0,Terrelle Pryor pass complete short left to Rod Streater for 5 yards (tackle by Brandon Boykin),0.430,-0.320
1,10:59,4,5,OAK 46,0,0,"Marquette King punts 54 yards, touchback. Penalty on Kurt Coleman: Running Into the Kicker, 5 yards (no play)",-0.320,2.320
1,10:51,1,10,PHI 49,0,0,Darren McFadden up the middle for 3 yards (tackle by Nate Allen and Connor Barwin),2.320,2.190
1,10:15,2,7,PHI 46,0,0,"Darren McFadden left end for 1 yard (tackle by DeMeco Ryans). Penalty on Marcel Reece: Offensive Holding, 10 yards",2.190,0.970
1,9:42,2,16,OAK 45,0,0,Terrelle Pryor pass incomplete short left intended for Mychal Rivera (defended by Earl Wolff),0.970,0.300
1,9:39,3,16,OAK 45,0,0,Terrelle Pryor right end for 3 yards (tackle by Nate Allen),0.300,-0.190
1,9:22,4,13,OAK 48,0,0,"Marquette King punts 36 yards, fair catch by DeSean Jackson",-0.190,0.140
1,9:16,1,10,PHI 16,0,0,Nick Foles up the middle for 4 yards (tackle by Nick Roach),-0.140,0.010
1,8:56,2,6,PHI 20,0,0,"LeSean McCoy up the middle for no gain (tackle by Vance Walker and Brandian Ross). Penalty on Todd Herremans: Offensive Holding, 10 yards (no play)",0.010,-1.220
1,8:47,2,16,PHI 10,0,0,Nick Foles pass complete short left to Riley Cooper for 42 yards (tackle by Charles Woodson),-1.220,2.390
1,8:32,1,10,OAK 48,0,0,Nick Foles pass incomplete short right intended for Zach Ertz,2.390,1.850
1,8:30,2,10,OAK 48,0,0,LeSean McCoy left end for -3 yards (tackle by Kevin Burnett),1.850,0.760
1,7:51,3,13,PHI 49,0,0,Nick Foles pass complete deep middle to Jeff Maehl for 19 yards (tackle by Charles Woodson),0.760,3.450
1,7:15,1,10,OAK 32,0,0,Nick Foles pass complete short right to LeSean McCoy for 13 yards (tackle by Mike Jenkins and Brandian Ross),3.450,4.310
1,6:49,1,10,OAK 19,0,0,Nick Foles pass complete short right to DeSean Jackson for 8 yards (tackle by Charles Woodson),4.310,5.140
1,6:27,2,2,OAK 11,0,0,LeSean McCoy right end for -1 yards (tackle by Kevin Burnett),5.140,4.190
1,6:01,3,3,OAK 12,0,0,Nick Foles pass complete short middle to Zach Ertz for 10 yards (tackle by Brandian Ross),4.190,6.740
1,5:23,1,2,OAK 2,6,0,"Nick Foles pass complete short left to Brent Celek for 2 yards, touchdown. Penalty on Tracy Porter: Defensive Offside (Declined)",6.740,7.000
1,5:23,,,OAK 2,7,0,Alex Henery kicks extra point good,0.000,0.000
1,5:23,,,PHI 35,7,0,"Alex Henery kicks off 65 yards, touchback",0.000,-0.280
1,5:18,1,10,OAK 20,7,0,Darren McFadden up the middle for 2 yards (tackle by Bennie Logan and Cedric Thornton),0.280,0.000
1,4:42,2,8,OAK 22,7,0,Terrelle Pryor pass complete short left to Darren McFadden for 3 yards (tackle by Brandon Graham and Earl Wolff),0.000,-0.300
1,4:02,3,5,OAK 25,7,0,Terrelle Pryor pass complete short middle to Rod Streater for 66 yards (tackle by Brandon Boykin),-0.300,5.140
1,3:12,1,9,PHI 9,7,0,Terrelle Pryor right end for 3 yards (tackle by Mychal Kendricks),5.140,4.950
1,2:28,2,6,PHI 6,7,0,Terrelle Pryor pass incomplete short right intended for Juron Criner,4.950,4.040
1,2:20,3,6,PHI 6,7,0,"Terrelle Pryor pass incomplete short middle intended for Juron Criner. Penalty on Cary Williams: Defensive Holding (Offsetting), Penalty on Khalif Barnes: Offensive Holding (Offsetting) (no play)",4.040,4.040
1,2:13,3,6,PHI 6,7,0,Terrelle Pryor pass incomplete short right intended for Darren McFadden,4.040,2.990
1,2:06,4,6,PHI 6,7,3,Sebastian Janikowski 24 yard field goal good,2.990,3.000
1,2:06,,,OAK 35,7,3,"Sebastian Janikowski kicks off 56 yards, returned by Brandon Boykin for 9 yards (tackle by Phillip Adams)",0.000,-0.040
1,1:58,1,10,PHI 18,7,3,LeSean McCoy up the middle for 6 yards (tackle by Sio Moore and Kevin Burnett),0.040,0.410
1,1:41,2,4,PHI 24,7,3,Nick Foles up the middle for 9 yards (tackle by Nick Roach),0.410,1.140
1,1:15,1,10,PHI 33,7,3,Nick Foles pass complete short right to LeSean McCoy for 5 yards (tackle by Mike Jenkins),1.140,1.270
1,0:42,2,5,PHI 38,7,3,Bryce Brown right end for 8 yards (tackle by Vance Walker),1.270,1.990
1,0:29,1,10,PHI 46,7,3,Bryce Brown up the middle for 32 yards (tackle by Mike Jenkins),1.990,4.110
1,0:15,1,10,OAK 22,7,3,Bryce Brown up the middle for 4 yards (tackle by Lamarr Houston and Kevin Burnett),4.110,4.130
Quarter,Time,Down,ToGo,Location,PHI,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,OAK 18,7,3,Nick Foles pass complete short left to Brent Celek for 1 yard (tackle by Kevin Burnett and Daniel Muir),4.130,3.560
2,14:23,3,5,OAK 17,13,3,"Nick Foles pass complete deep left to Riley Cooper for 17 yards, touchdown",3.560,7.000
2,14:23,,,OAK 2,14,3,Alex Henery kicks extra point good,0.000,0.000
