Quarter,Time,Tm,Detail,PHI,OAK
1.0,5:18,Eagles,Brent Celek 2 yard pass from Nick Foles (Alex Henery kick),7,0
,2:02,Raiders,Sebastian Janikowski 24 yard field goal,7,3
2.0,14:17,Eagles,Riley Cooper 17 yard pass from Nick Foles (Alex Henery kick),14,3
,11:17,Eagles,Riley Cooper 63 yard pass from Nick Foles (Alex Henery kick),21,3
,7:34,Raiders,Rashad Jennings 8 yard rush (Sebastian Janikowski kick),21,10
,4:03,Eagles,Zach Ertz 15 yard pass from Nick Foles (Alex Henery kick),28,10
,0:03,Raiders,Sebastian Janikowski 53 yard field goal,28,13
3.0,14:14,Eagles,LeSean McCoy 25 yard pass from Nick Foles (Alex Henery kick),35,13
,11:33,Eagles,DeSean Jackson 46 yard pass from Nick Foles (Alex Henery kick),42,13
,4:28,Eagles,Riley Cooper 5 yard pass from Nick Foles (Alex Henery kick),49,13
4.0,0:52,Raiders,Jeremy Stewart 2 yard rush (Sebastian Janikowski kick),49,20
