Unnamed: 0,PHI,OAK
First Downs,21,29
Rush-Yds-TDs,25-124-0,33-210-2
Cmp-Att-Yd-TD-INT,24-31-419-7-0,29-56-375-0-2
Sacked-Yards,1-1,3-25
Net Pass Yards,418,350
Total Yards,542,560
Fumbles-Lost,0-0,2-0
Turnovers,0,2
Penalties-Yards,7-52,8-70
Third Down Conv.,4-10,6-18
Fourth Down Conv.,0-0,0-1
Time of Possession,22:06,37:54
