Unnamed: 0,DAL,GNB
First Downs,21,23
Rush-Yds-TDs,28-145-1,29-119-0
Cmp-Att-Yd-TD-INT,15-19-191-2-0,24-35-316-3-0
Sacked-Yards,4-21,2-19
Net Pass Yards,170,297
Total Yards,315,416
Fumbles-Lost,3-1,3-1
Turnovers,1,1
Penalties-Yards,5-35,10-87
Third Down Conv.,4-8,9-14
Fourth Down Conv.,0-1,0-0
Time of Possession,30:39,29:21
