Quarter,Time,Down,ToGo,Location,DAL,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 69 yards, returned by Dwayne Harris for 27 yards (tackle by Brad Jones)",0.000,-0.480
1,14:53,1,10,DAL 23,0,0,DeMarco Murray up the middle for 5 yards (tackle by A.J. Hawk and Josh Boyd),0.480,0.610
1,14:14,2,5,DAL 28,0,0,DeMarco Murray left end for no gain (tackle by Sam Barrington),0.610,-0.100
1,13:38,3,5,DAL 28,0,0,"Tony Romo sacked by Julius Peppers for -5 yards. Tony Romo fumbles (forced by Julius Peppers), recovered by Tony Romo at DAL-23",-0.100,-1.830
1,12:59,4,10,DAL 23,0,0,"Chris Jones punts 37 yards, fair catch by Micah Hyde",-1.830,-1.600
1,12:52,1,10,GNB 40,0,0,Eddie Lacy up the middle for -1 yards (tackle by Bruce Carter and Rolando McClain),1.600,0.920
1,12:24,2,11,GNB 39,0,0,Aaron Rodgers pass complete short left to Jordy Nelson for 11 yards (tackle by Brandon Carr),0.920,2.260
1,11:56,1,10,,0,0,Eddie Lacy right end for 19 yards (tackle by Jeff Heath and George Selvie),2.260,3.510
1,11:28,1,10,DAL 31,0,0,Eddie Lacy right end for 5 yards (tackle by George Selvie),3.510,3.640
1,10:57,2,5,DAL 26,0,0,Eddie Lacy right tackle for 10 yards (tackle by Jeff Heath),3.640,4.510
1,10:23,1,10,DAL 16,0,0,Eddie Lacy left tackle for 8 yards (tackle by Barry Church),4.510,5.350
1,9:43,2,2,DAL 8,0,0,Eddie Lacy right tackle for 4 yards (tackle by Ken Bishop),5.350,6.280
1,9:19,1,4,DAL 4,0,0,Eddie Lacy left end for no gain (tackle by Jeremy Mincey and Barry Church),6.280,5.340
1,8:38,2,4,DAL 4,0,0,Aaron Rodgers pass incomplete short left intended for Davante Adams,5.340,4.490
1,8:34,3,4,DAL 4,0,6,"Aaron Rodgers pass complete short middle to Andrew Quarless for 4 yards, touchdown",4.490,7.000
1,8:34,,,DAL 2,0,7,Mason Crosby kicks extra point good,0.000,0.000
1,8:34,,,GNB 35,0,7,"Mason Crosby kicks off 57 yards, returned by Dwayne Harris for 30 yards (tackle by Jarrett Boykin)",0.000,-1.470
1,8:24,1,10,DAL 38,0,7,DeMarco Murray right guard for 6 yards (tackle by Tramon Williams and Julius Peppers),1.470,1.730
1,7:51,2,4,DAL 44,0,7,Tony Romo pass incomplete short middle intended for Jason Witten,1.730,1.020
1,7:48,3,4,DAL 44,0,7,"Tony Romo pass incomplete short right intended for DeMarco Murray. Penalty on Brad Jones: Defensive Holding, 5 yards (no play)",1.020,2.190
1,7:44,1,10,DAL 49,0,7,"DeMarco Murray right end for no gain (tackle by A.J. Hawk and Morgan Burnett). Penalty on Zack Martin: Offensive Holding, 10 yards (no play)",2.190,1.530
1,7:22,1,20,DAL 39,0,7,Tony Romo pass complete short left to Cole Beasley for 18 yards (tackle by Ha Ha Clinton-Dix and Morgan Burnett),1.530,2.730
1,6:42,2,2,GNB 43,0,7,DeMarco Murray left end for 1 yard (tackle by Mike Neal and Mike Daniels),2.730,2.150
1,6:01,3,1,GNB 42,0,7,DeMarco Murray left end for 2 yards (tackle by Clay Matthews),2.150,2.920
1,5:20,1,10,GNB 40,0,7,Tony Romo left end for 7 yards (tackle by Nick Perry),2.920,3.320
1,4:36,2,3,GNB 33,0,7,DeMarco Murray left end for 3 yards (tackle by Nick Perry),3.320,3.580
1,3:52,1,10,GNB 30,0,7,Tony Romo pass complete short middle to Jason Witten for 8 yards (tackle by Brad Jones),3.580,4.110
1,3:08,2,2,GNB 22,0,7,DeMarco Murray right guard for 1 yard (tackle by Josh Boyd and Sam Barrington),4.110,3.530
1,2:30,3,1,GNB 21,0,7,DeMarco Murray up the middle for 2 yards (tackle by Ha Ha Clinton-Dix),3.530,4.310
1,1:55,1,10,GNB 19,0,7,DeMarco Murray right end for 2 yards (tackle by Datone Jones),4.310,4.030
1,1:14,2,8,GNB 17,0,7,"Tony Romo pass incomplete deep right intended for Terrance Williams. Penalty on Tramon Williams: Defensive Pass Interference, 16 yards (no play)",4.030,6.970
1,1:09,1,1,GNB 1,6,7,"Tony Romo pass complete short right to Tyler Clutts for 1 yard, touchdown",6.970,7.000
1,1:09,,,GNB 2,7,7,Dan Bailey kicks extra point good,0.000,0.000
1,1:09,,,DAL 35,7,7,"Dan Bailey kicks off 56 yards, returned by Randall Cobb for 23 yards (tackle by Tyler Patmon)",0.000,-1.070
1,0:59,1,10,GNB 32,7,7,James Starks right guard for 4 yards (tackle by Barry Church and Bruce Carter),1.070,1.070
1,0:27,2,6,GNB 36,7,7,Aaron Rodgers pass incomplete deep right intended for Randall Cobb,1.070,0.370
1,0:22,3,6,GNB 36,7,7,"Aaron Rodgers sacked by Jeremy Mincey for -5 yards. Penalty on Brandon Carr: Defensive Holding, 5 yards (no play)",0.370,1.660
Quarter,Time,Down,ToGo,Location,DAL,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 41,7,7,Aaron Rodgers pass incomplete short left intended for John Kuhn,1.660,1.120
2,14:55,2,10,GNB 41,7,7,James Starks left tackle for -1 yards (tackle by Jeremy Mincey and Bruce Carter),1.120,0.300
2,14:22,3,11,GNB 40,7,7,"Aaron Rodgers pass incomplete deep right intended for Jordy Nelson. Penalty on Anthony Spencer: Defensive Offside, 5 yards (no play)",0.300,0.960
2,14:15,3,6,GNB 45,7,7,Aaron Rodgers pass complete short middle to Randall Cobb for 12 yards (tackle by Orlando Scandrick),0.960,2.720
2,13:43,1,10,DAL 43,7,7,James Starks left tackle for 4 yards (tackle by Anthony Hitchens and Ken Bishop),2.720,2.720
2,13:15,2,6,DAL 39,7,7,James Starks left tackle for 3 yards (tackle by George Selvie),2.720,2.410
2,12:39,3,3,DAL 36,7,7,James Starks left end for 6 yards (tackle by Anthony Hitchens),2.410,3.580
2,12:04,1,10,DAL 30,7,7,Aaron Rodgers pass complete short right to Randall Cobb for 3 yards (tackle by Sterling Moore),3.580,3.440
2,11:27,2,7,DAL 27,7,7,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,3.440,2.740
2,11:21,3,7,DAL 27,7,7,"Aaron Rodgers for no gain. Aaron Rodgers fumbles, recovered by Aaron Rodgers at DAL-32. Aaron Rodgers fumbles (forced by Jeremy Mincey), recovered by Jeremy Mincey at DAL-36 (tackle by Aaron Rodgers)",2.740,-1.330
2,11:12,1,10,DAL 36,7,7,DeMarco Murray right tackle for 7 yards (tackle by Mike Neal),1.330,1.740
2,10:33,2,3,DAL 43,7,7,DeMarco Murray left end for 5 yards (tackle by Letroy Guion),1.740,2.130
2,9:48,1,10,DAL 48,7,7,Tony Romo pass complete short left to Cole Beasley for 11 yards (tackle by Casey Hayward),2.130,2.850
