Quarter,Time,Tm,Detail,DAL,GNB
1.0,8:30,Packers,Andrew Quarless 4 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,1:05,Cowboys,Tyler Clutts 1 yard pass from Tony Romo (Dan Bailey kick),7,7
2.0,8:19,Cowboys,Terrance Williams 38 yard pass from Tony Romo (Dan Bailey kick),14,7
,0:00,Packers,Mason Crosby 40 yard field goal,14,10
3.0,7:46,Packers,Mason Crosby 30 yard field goal,14,13
,4:12,Cowboys,DeMarco Murray 1 yard rush (Dan Bailey kick),21,13
,1:41,Packers,Davante Adams 46 yard pass from Aaron Rodgers (Mason Crosby kick),21,20
4.0,9:10,Packers,Richard Rodgers 13 yard pass from Aaron Rodgers (pass failed),21,26
