Quarter,Time,Tm,Detail,NYJ,NWE
1,8:51,Jets,Shonn Greene 1 yard rush (Nick Folk kick),7,0
,8:39,Patriots,Devin McCourty 104 yard kickoff return (Stephen Gostkowski kick),7,7
,4:11,Patriots,Rob Gronkowski 17 yard pass from Tom Brady (Stephen Gostkowski kick),7,14
2,13:10,Patriots,"Safety, Mark Sanchez fumble out of bounds in the end zone.",7,16
,0:02,Jets,Nick Folk 54 yard field goal,10,16
3,9:33,Jets,Nick Folk 21 yard field goal,13,16
,2:39,Patriots,Rob Gronkowski 2 yard pass from Tom Brady (Stephen Gostkowski kick),13,23
4,5:44,Jets,Dustin Keller 7 yard pass from Mark Sanchez (Nick Folk kick),20,23
,2:06,Jets,Nick Folk 43 yard field goal,23,23
,1:37,Jets,Nick Folk 43 yard field goal,26,23
,0:00,Patriots,Stephen Gostkowski 43 yard field goal,26,26
OT,11:02,Patriots,Stephen Gostkowski 48 yard field goal,26,29
