Quarter,Time,Tm,Detail,ATL,CAR
1.0,8:19,Panthers,Cam Newton 12 yard rush (Zane Gonzalez kick),0,7
,3:03,Falcons,Cordarrelle Patterson 5 yard rush (Younghoe Koo kick),7,7
2.0,8:35,Falcons,Mykal Walker 66 yard interception return (Younghoe Koo kick),14,7
,3:12,Falcons,Younghoe Koo 32 yard field goal,17,7
3.0,11:21,Panthers,Chuba Hubbard 17 yard rush (Zane Gonzalez kick),17,14
,6:28,Falcons,Younghoe Koo 38 yard field goal,20,14
4.0,14:17,Falcons,Hayden Hurst 3 yard pass from Matt Ryan (pass failed),26,14
,6:10,Falcons,Younghoe Koo 48 yard field goal,29,14
,3:11,Panthers,Robbie Chosen 5 yard pass from P.J. Walker (Zane Gonzalez kick),29,21
