Unnamed: 0,ATL,CAR
First Downs,20,21
Rush-Yds-TDs,36-128-1,26-91-2
Cmp-Att-Yd-TD-INT,19-28-190-1-0,21-35-253-1-2
Sacked-Yards,0-0,1-10
Net Pass Yards,190,243
Total Yards,318,334
Fumbles-Lost,1-1,3-1
Turnovers,1,3
Penalties-Yards,6-60,6-45
Third Down Conv.,7-14,4-11
Fourth Down Conv.,2-2,1-3
Time of Possession,34:37,25:23
