Unnamed: 0,DEN,MIA
First Downs,14,15
Rush-Yds-TDs,23-103-0,30-145-1
Cmp-Att-Yd-TD-INT,19-41-200-0-3,18-32-235-2-2
Sacked-Yards,3-33,2-13
Net Pass Yards,167,222
Total Yards,270,367
Fumbles-Lost,2-0,1-1
Turnovers,3,3
Penalties-Yards,9-57,7-85
Third Down Conv.,1-13,4-15
Fourth Down Conv.,0-1,0-0
Time of Possession,25:38,34:22
