Quarter,Time,Tm,Detail,DEN,MIA
1.0,3:07,Dolphins,"Safety, Fumble O.B. in end zone",0,2
2.0,13:28,Broncos,Brandon McManus 31 yard field goal,3,2
,9:39,Dolphins,Julius Thomas 9 yard pass from Jay Cutler (Cody Parkey kick),3,9
,9:32,Dolphins,Xavien Howard 30 yard interception return (Cody Parkey kick),3,16
3.0,10:32,Dolphins,Cody Parkey 37 yard field goal,3,19
,4:56,Broncos,Justin Simmons 65 yard interception return (pass failed),9,19
,2:54,Dolphins,Kenyan Drake 42 yard rush (Cody Parkey kick),9,26
4.0,10:21,Dolphins,Kenny Stills 23 yard pass from Jay Cutler (Cody Parkey kick),9,33
,8:49,Dolphins,"Safety, Isaiah McKenzie tackled in end zone by Senorise Perry",9,35
