Unnamed: 0,PIT,CIN
First Downs,22,11
Rush-Yds-TDs,38-138-1,16-57-0
Cmp-Att-Yd-TD-INT,21-34-240-1-1,16-24-157-1-1
Sacked-Yards,1-2,4-32
Net Pass Yards,238,125
Total Yards,376,182
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,6-53,7-49
Third Down Conv.,8-16,3-10
Fourth Down Conv.,2-2,0-0
Time of Possession,37:06,22:54
