Quarter,Time,Tm,Detail,PIT,CIN
2.0,1:46,Steelers,Hines Ward 7 yard pass from Tommy Maddox (Jeff Reed kick),7,0
3.0,10:04,Bengals,Shayne Graham 44 yard field goal,7,3
,3:26,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),14,3
4.0,13:37,Steelers,Jeff Reed 33 yard field goal,17,3
,5:54,Bengals,Peter Warrick 5 yard pass from Jon Kitna (Shayne Graham kick),17,10
