Quarter,Time,Down,ToGo,Location,SDG,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Joe Nedney kicks off 68 yards, returned by Michael Turner for 20 yards (tackle by Chad Williams)",0.000,0.410
1,14:55,1,10,SDG 22,0,0,Philip Rivers pass complete short middle to Antonio Gates for 7 yards (tackle by Derek Smith),0.410,0.810
1,14:22,2,3,SDG 29,0,0,LaDainian Tomlinson left tackle for 2 yards (tackle by Derek Smith),0.810,0.370
1,13:39,3,1,SDG 31,0,0,Lorenzo Neal left guard for 5 yards (tackle by Mark Roman),0.370,1.330
1,12:59,1,10,SDG 36,0,0,Philip Rivers pass incomplete short right intended for Keenan McCardell,1.330,0.790
1,12:53,2,10,SDG 36,0,0,Philip Rivers pass complete short left to Keenan McCardell for 7 yards (tackle by Sammy Davis),0.790,1.030
1,12:13,3,3,SDG 43,6,0,"Philip Rivers pass complete short left to Antonio Gates for 57 yards, touchdown",1.030,7.000
1,,,,SFO 2,7,0,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,7,0,"Nate Kaeding kicks off 60 yards, returned by Maurice Hicks for 16 yards (tackle by Clinton Hart)",0.000,0.670
1,11:55,1,10,SFO 26,7,0,Alex Smith pass complete short right to Frank Gore for no gain,0.670,0.130
1,11:17,2,10,SFO 26,7,0,Alex Smith pass complete short right to Antonio Bryant for 15 yards (tackle by Marlon McCree),0.130,1.660
1,10:37,1,10,SFO 41,7,0,Frank Gore right tackle for 2 yards (tackle by Shawne Merriman),1.660,1.390
1,9:58,2,8,SFO 43,7,0,"Alex Smith pass complete short right to Arnaz Battle for 3 yards (tackle by Donnie Edwards). Penalty on Shawne Merriman: Defensive Offside, 5 yards (no play)",1.390,2.070
1,9:28,2,3,SFO 48,7,0,"Frank Gore left end for 22 yards (tackle by Terrence Kiel). Penalty on Terrence Kiel: Personal Foul, 15 yards",2.070,4.580
1,9:28,1,10,SDG 15,7,6,"Alex Smith pass complete short right to Bryan Gilmore for 15 yards, touchdown",4.580,7.000
1,,,,SDG 2,7,7,Joe Nedney kicks extra point good,0.000,0.000
1,,,,SFO 30,7,7,--,0.000,-0.380
1,8:54,1,10,SDG 9,7,7,LaDainian Tomlinson left end for 9 yards (tackle by Mark Roman),-0.380,0.140
1,8:24,2,1,SDG 18,7,7,Lorenzo Neal left guard for 3 yards (tackle by Marques Douglas),0.140,0.340
1,7:48,1,10,SDG 21,7,7,Philip Rivers pass complete short right to Eric Parker for 9 yards (tackle by Shawntae Spencer),0.340,1.020
1,7:20,2,1,SDG 30,7,7,Lorenzo Neal middle for 4 yards (tackle by Ronald Fields and Jeff Ulbrich),1.020,1.200
1,6:42,1,10,SDG 34,7,7,Philip Rivers pass complete short right to Eric Parker for 11 yards (tackle by Shawntae Spencer),1.200,1.930
1,6:02,1,10,SDG 45,7,7,LaDainian Tomlinson right guard for 4 yards (tackle by Mike Adams),1.930,1.920
1,5:20,2,6,SDG 49,7,7,"Philip Rivers pass complete short left to Eric Parker for 11 yards (tackle by Sammy Davis). Penalty on Isaac Sopoaga: Roughing the Passer, 15 yards",1.920,3.910
1,4:50,1,10,SFO 25,7,7,Philip Rivers pass complete to Keenan McCardell for 8 yards (tackle by Shawntae Spencer),3.910,4.550
1,4:12,2,2,SFO 17,7,7,Lorenzo Neal left guard for 3 yards (tackle by Ronald Fields),4.550,4.650
1,3:30,1,10,SFO 14,7,7,LaDainian Tomlinson middle for 9 yards (tackle by Manny Lawson),4.650,5.670
1,2:50,2,1,SFO 5,13,7,"LaDainian Tomlinson right end for 5 yards, touchdown",5.670,7.000
1,,,,SFO 2,14,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,14,7,"Nate Kaeding kicks off 66 yards, returned by Maurice Hicks for 22 yards (tackle by Tim Dobbins)",0.000,0.670
1,2:37,1,10,SFO 26,14,7,Alex Smith pass complete short left to Arnaz Battle for 4 yards (tackle by Drayton Florence and Randall Godfrey),0.670,0.670
1,1:57,2,6,SFO 30,14,7,Alex Smith pass complete deep left to Antonio Bryant for 25 yards (tackle by Drayton Florence). Penalty on Drayton Florence: Illegal Contact (Declined),0.670,2.590
1,1:31,1,10,SDG 45,14,7,Alex Smith pass incomplete short left intended for Antonio Bryant,2.590,2.040
1,1:21,2,10,SDG 45,14,7,Frank Gore middle for 3 yards (tackle by Shaun Phillips),2.040,1.750
1,0:41,3,7,SDG 42,14,7,Alex Smith pass complete short left to Frank Gore for 16 yards (tackle by Antonio Cromartie),1.750,3.840
1,0:11,1,10,SDG 26,14,7,Michael Robinson right guard for 2 yards (tackle by Stephen Cooper and Igor Olshansky),3.840,3.570
Quarter,Time,Down,ToGo,Location,SDG,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,SDG 24,14,7,Alex Smith pass incomplete short right intended for Frank Gore,3.570,2.870
2,14:54,3,8,SDG 24,14,7,Alex Smith pass incomplete intended for Eric Johnson,2.870,1.870
2,14:45,4,8,SDG 24,14,10,Joe Nedney 42 yard field goal good,1.870,3.000
2,,,,SFO 30,14,10,"Joe Nedney kicks off 61 yards, returned by Michael Turner for 14 yards (tackle by Marcus Hudson)",0.000,0.480
2,14:39,1,10,SDG 23,14,10,LaDainian Tomlinson right tackle for 3 yards (tackle by Marques Douglas),0.480,0.340
2,13:57,2,7,SDG 26,14,10,Philip Rivers pass complete short right to Keenan McCardell for 12 yards,0.340,1.470
2,13:23,1,10,SDG 38,14,10,LaDainian Tomlinson right guard for 2 yards (tackle by Brandon Moore and Marques Douglas),1.470,1.190
2,12:41,2,8,SDG 40,14,10,Philip Rivers pass complete deep middle to Eric Parker for 27 yards (tackle by Mike Adams),1.190,3.380
2,12:07,1,10,SFO 33,20,10,"Philip Rivers pass complete deep left to Vincent Jackson for 33 yards, touchdown",3.380,7.000
2,,,,SFO 2,21,10,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,21,10,"Nate Kaeding kicks off 69 yards, returned by Maurice Hicks for 22 yards (tackle by Clinton Hart)",0.000,0.480
2,11:51,1,10,SFO 23,21,10,Frank Gore middle for 1 yard (tackle by Donnie Edwards),0.480,0.070
2,11:15,2,9,SFO 24,21,10,Alex Smith pass complete short middle to Frank Gore for 5 yards (tackle by Shaun Phillips),0.070,0.040
2,10:30,3,4,SFO 29,21,10,"Alex Smith sacked by Shaun Phillips for -8 yards. Alex Smith fumbles (forced by Shaun Phillips), recovered by Kwame Harris at SFO-20",0.040,-2.030
2,9:50,4,13,SFO 20,21,10,"Andy Lee punts 52 yards, returned by Eric Parker for no gain",-2.030,-0.810
2,9:37,1,10,SDG 28,21,10,"Philip Rivers pass incomplete short left intended for Malcom Floyd (defended by Sammy Davis). Penalty on Shawntae Spencer: Illegal Contact, 5 yards (no play)",0.810,1.140
2,9:31,1,10,SDG 33,21,10,Philip Rivers pass complete short left to Antonio Gates for 2 yards (tackle by Derek Smith),1.140,0.860
2,8:52,2,8,SDG 35,21,10,Philip Rivers pass complete short left to LaDainian Tomlinson for 6 yards (tackle by Sammy Davis),0.860,0.960
2,8:05,3,2,SDG 41,21,10,Philip Rivers pass complete short right to LaDainian Tomlinson for 8 yards (tackle by Derek Smith),0.960,2.190
2,7:20,1,10,SDG 49,21,10,Philip Rivers pass complete short left to Lorenzo Neal for 4 yards (tackle by Manny Lawson),2.190,2.190
2,6:37,2,6,SFO 47,21,10,"Philip Rivers pass incomplete deep left intended for Malcom Floyd (defended by Sammy Davis). Penalty on Mark Roman: Defensive Pass Interfere, 41 yards (no play)",2.190,5.830
2,6:23,1,6,SFO 6,21,10,"Philip Rivers pass incomplete short right intended for Antonio Gates. Penalty on Mike Adams: Defensive Pass Interfere, 5 yards (no play)",5.830,6.970
2,6:23,1,1,SFO 1,27,10,"LaDainian Tomlinson left tackle for 1 yard, touchdown",6.970,7.000
2,,,,SFO 2,28,10,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,28,10,"Nate Kaeding kicks off 64 yards, returned by Maurice Hicks for 20 yards (tackle by Quentin Jammer)",0.000,0.670
