Unnamed: 0,SDG,SFO
First Downs,30,15
Rush-Yds-TDs,30-87-4,14-92-0
Cmp-Att-Yd-TD-INT,29-39-334-2-0,20-31-214-2-1
Sacked-Yards,0-0,5-32
Net Pass Yards,334,182
Total Yards,421,274
Fumbles-Lost,1-0,2-1
Turnovers,0,2
Penalties-Yards,6-51,9-116
Third Down Conv.,12-15,4-11
Fourth Down Conv.,0-0,0-1
Time of Possession,35:48,24:12
