Quarter,Time,Tm,Detail,SDG,OAK
1.0,13:56,Raiders,"Safety, Mike Scifres punt blocked by Rock Cartwright out the end zone.",0,2
,12:03,Raiders,Sebastian Janikowski 50 yard field goal,0,5
,10:33,Raiders,Hiram Eugene 5 yard blocked punt return (Sebastian Janikowski kick),0,12
2.0,10:07,Chargers,Antonio Gates 19 yard pass from Philip Rivers (Nate Kaeding kick),7,12
,4:49,Chargers,Mike Tolbert 4 yard rush (Nate Kaeding kick),14,12
,0:58,Raiders,Sebastian Janikowski 30 yard field goal,14,15
,0:01,Chargers,Nate Kaeding 43 yard field goal,17,15
3.0,7:38,Chargers,Malcom Floyd 41 yard pass from Philip Rivers (Nate Kaeding kick),24,15
,1:12,Raiders,Zach Miller 1 yard pass from Jason Campbell (Sebastian Janikowski kick),24,22
4.0,12:00,Chargers,Nate Kaeding 34 yard field goal,27,22
,3:39,Raiders,Michael Bush 3 yard rush (pass failed),27,28
,0:58,Raiders,Tyvon Branch 64 yard defensive fumble return (Sebastian Janikowski kick),27,35
