Unnamed: 0,SDG,OAK
First Downs,29,14
Rush-Yds-TDs,26-91-1,30-111-1
Cmp-Att-Yd-TD-INT,27-42-431-2-0,14-25-173-1-0
Sacked-Yards,3-16,3-5
Net Pass Yards,415,168
Total Yards,506,279
Fumbles-Lost,3-3,3-0
Turnovers,3,0
Penalties-Yards,7-53,12-85
Third Down Conv.,5-12,6-15
Fourth Down Conv.,0-1,2-3
Time of Possession,32:46,27:14
