Unnamed: 0,SFO,SEA
First Downs,21,14
Rush-Yds-TDs,40-178-1,26-124-1
Cmp-Att-Yd-TD-INT,14-26-179-0-0,15-28-163-1-0
Sacked-Yards,2-8,4-22
Net Pass Yards,171,141
Total Yards,349,265
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,6-77,6-51
Third Down Conv.,3-14,5-13
Fourth Down Conv.,2-3,0-1
Time of Possession,32:54,27:06
