Quarter,Time,Tm,Detail,SFO,SEA
1.0,11:35,Seahawks,Doug Baldwin 13 yard pass from Tarvaris Jackson (Stephen Hauschka kick),0,7
2.0,14:28,49ers,David Akers 53 yard field goal,3,7
,1:30,Seahawks,Stephen Hauschka 19 yard field goal,3,10
3.0,11:01,49ers,Frank Gore 4 yard rush (David Akers kick),10,10
,4:04,49ers,David Akers 29 yard field goal,13,10
4.0,12:37,49ers,David Akers 44 yard field goal,16,10
,6:41,Seahawks,Marshawn Lynch 4 yard rush (Stephen Hauschka kick),16,17
,2:57,49ers,David Akers 39 yard field goal,19,17
