Unnamed: 0,NOR,SDG
First Downs,21,21
Rush-Yds-TDs,34-83-3,21-38-2
Cmp-Att-Yd-TD-INT,23-36-207-2-2,28-43-321-2-1
Sacked-Yards,2-15,3-13
Net Pass Yards,192,308
Total Yards,275,346
Fumbles-Lost,0-0,4-2
Turnovers,2,3
Penalties-Yards,6-34,5-46
Third Down Conv.,11-18,6-13
Fourth Down Conv.,1-1,0-1
Time of Possession,32:39,27:21
