Quarter,Time,Tm,Detail,NOR,SDG
1.0,10:32,Saints,Mark Ingram 1 yard rush (Wil Lutz kick),7,0
,1:10,Chargers,Hunter Henry 20 yard pass from Philip Rivers (Josh Lambo kick),7,7
2.0,9:20,Saints,John Kuhn 4 yard pass from Drew Brees (Wil Lutz kick),14,7
,7:04,Chargers,Dontrelle Inman 57 yard pass from Philip Rivers (Josh Lambo kick),14,14
,4:50,Chargers,Josh Lambo 30 yard field goal,14,17
,0:13,Chargers,Melvin Gordon 1 yard rush (Josh Lambo kick),14,24
3.0,9:00,Saints,John Kuhn 1 yard rush (Wil Lutz kick),21,24
4.0,12:15,Chargers,Melvin Gordon 1 yard rush (Josh Lambo kick),21,31
,8:39,Chargers,Josh Lambo 47 yard field goal,21,34
,4:50,Saints,Michael Thomas 5 yard pass from Drew Brees (Wil Lutz kick),28,34
,1:57,Saints,John Kuhn 1 yard rush (Wil Lutz kick),35,34
