Quarter,Time,Tm,Detail,DEN,CIN
2.0,0:00,Broncos,Matt Prater 48 yard field goal,3,0
3.0,0:14,Broncos,Matt Prater 50 yard field goal,6,0
4.0,0:38,Bengals,Cedric Benson 1 yard rush (Shayne Graham kick),6,7
,0:11,Broncos,Brandon Stokley 87 yard pass from Kyle Orton (pass failed),12,7
