Unnamed: 0,DEN,CIN
First Downs,10,16
Rush-Yds-TDs,20-75-0,27-86-1
Cmp-Att-Yd-TD-INT,17-28-243-1-0,21-33-247-0-2
Sacked-Yards,3-16,3-26
Net Pass Yards,227,221
Total Yards,302,307
Fumbles-Lost,1-0,1-0
Turnovers,0,2
Penalties-Yards,6-39,4-27
Third Down Conv.,3-12,5-15
Fourth Down Conv.,0-0,1-2
Time of Possession,26:33,33:27
