Unnamed: 0,BAL,NWE
First Downs,24,25
Rush-Yds-TDs,17-116-0,30-85-2
Cmp-Att-Yd-TD-INT,27-47-264-2-1,21-32-258-1-0
Sacked-Yards,2-17,3-24
Net Pass Yards,247,234
Total Yards,363,319
Fumbles-Lost,1-1,2-1
Turnovers,2,1
Penalties-Yards,9-85,5-41
Third Down Conv.,9-14,4-10
Fourth Down Conv.,0-2,1-1
Time of Possession,25:04,34:56
