Quarter,Time,Down,ToGo,Location,BAL,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Ravens to receive the opening kickoff.",,
1,15:00,,,NWE 30,0,0,"Stephen Gostkowski kicks off 74 yards, returned by Chris Carr for 22 yards (tackle by Eric Alexander). Chris Carr fumbles (forced by Eric Alexander), recovered by Brandon McGowan at BAL-12 (tackle by Matt Lawrence)",0.000,-4.780
1,14:54,1,10,BAL 12,0,0,Tom Brady pass incomplete short middle intended for Sam Aiken,4.780,4.100
1,14:49,2,10,BAL 12,0,0,Laurence Maroney right guard for 1 yard (tackle by Ray Lewis and Kelly Gregg),4.100,3.290
1,14:05,3,9,BAL 11,0,0,Tom Brady sacked by Trevor Pryce for -3 yards,3.290,2.510
1,13:38,4,12,BAL 14,0,3,Stephen Gostkowski 32 yard field goal good,2.510,3.000
1,,,,NWE 30,0,3,"Stephen Gostkowski kicks off 72 yards, returned by Chris Carr for 21 yards (tackle by James Sanders)",0.000,0.150
1,13:29,1,10,BAL 19,0,3,Joe Flacco pass incomplete deep middle intended for Derrick Mason,0.150,-0.390
1,13:24,2,10,BAL 19,0,3,Joe Flacco pass incomplete short middle intended for Willis McGahee (defended by Vince Wilfork),-0.390,-1.070
1,13:20,3,10,BAL 19,0,3,"Penalty on Tully Banta-Cain: Defensive Offside, 5 yards (no play)",-1.070,-0.420
1,13:20,3,5,BAL 24,0,3,Joe Flacco pass complete deep left to Derrick Mason for 17 yards,-0.420,1.660
1,13:07,1,10,BAL 41,0,3,Willis McGahee left tackle for 4 yards (tackle by Pierre Woods and Jarvis Green),1.660,1.660
1,12:31,2,6,BAL 45,0,3,Joe Flacco pass complete short right to Derrick Mason for 11 yards (tackle by Shawn Springs),1.660,2.650
1,11:59,1,10,NWE 44,0,3,"Penalty on Jared Gaither: False Start, 5 yards (no play)",2.650,2.320
1,11:36,1,15,NWE 49,0,3,Willis McGahee left tackle for -2 yards (tackle by Jarvis Green and Pierre Woods),2.320,1.170
1,10:52,2,17,BAL 49,0,3,Joe Flacco pass complete short right to Kelley Washington for 9 yards (tackle by Shawn Springs),1.170,1.690
1,10:12,3,8,NWE 42,0,3,Joe Flacco pass complete short right to Derrick Mason for 9 yards (tackle by Jonathan Wilhite). Penalty on Adalius Thomas: Defensive Offside (Declined),1.690,3.380
1,9:51,1,10,NWE 33,0,3,Joe Flacco pass complete short left to Derrick Mason for 12 yards (tackle by Leigh Bodden),3.380,4.170
1,9:21,1,10,NWE 21,0,3,Ray Rice middle for 6 yards (tackle by Adalius Thomas and Brandon Meriweather),4.170,4.550
1,8:37,2,4,NWE 15,0,3,Joe Flacco pass incomplete short middle intended for Le'Ron McClain,4.550,3.810
1,8:34,,,,0,3,Timeout #1 by Baltimore Ravens,0.000,3.810
1,8:34,3,4,NWE 15,0,3,Joe Flacco pass complete short left to Derrick Mason for 8 yards (tackle by Brandon Meriweather),3.810,5.600
1,8:08,1,7,NWE 7,0,3,Joe Flacco pass incomplete short right intended for Mark Clayton,5.600,4.760
1,8:04,2,7,NWE 7,0,3,Joe Flacco pass complete short middle to Michael Oher for -8 yards (tackle by Vince Wilfork),4.760,2.930
1,7:28,3,15,NWE 15,0,3,"Penalty on Joe Flacco: Delay of Game, 5 yards (no play)",2.930,2.340
1,7:04,3,20,NWE 20,6,3,"Joe Flacco pass complete deep right to Derrick Mason for 20 yards, touchdown",2.340,7.000
1,,,,NWE 2,7,3,Steven Hauschka kicks extra point good,0.000,0.000
1,,,,BAL 30,7,3,"Steven Hauschka kicks off 63 yards, returned by Laurence Maroney for 17 yards (tackle by Haruki Nakamura)",0.000,0.540
1,6:53,1,10,NWE 24,7,3,Tom Brady pass complete short right to Wes Welker for 10 yards (tackle by Ed Reed),0.540,1.200
1,6:15,1,10,NWE 34,7,3,Laurence Maroney left end for -1 yards (tackle by Domonique Foxworth),1.200,0.520
1,5:44,2,11,NWE 33,7,3,Tom Brady pass complete short left to Julian Edelman for 12 yards (tackle by Ed Reed and Jarret Johnson),0.520,1.930
1,5:05,1,10,NWE 45,7,3,Tom Brady pass complete short middle to Laurence Maroney for 17 yards (tackle by Ray Lewis and Kelly Gregg),1.930,3.050
1,4:22,1,10,BAL 38,7,3,Laurence Maroney left guard for 1 yard (tackle by Justin Bannan and Ray Lewis),3.050,2.640
1,3:42,2,9,BAL 37,7,3,Tom Brady pass incomplete short middle intended for Sam Aiken (defended by Fabian Washington),2.640,1.950
1,3:35,3,9,BAL 37,7,3,"Tom Brady pass incomplete short middle intended for Ben Watson. Penalty on Haloti Ngata: Roughing the Passer, 15 yards (no play)",1.950,4.110
1,3:29,1,10,BAL 22,7,3,Kevin Faulk left guard for 8 yards (tackle by Brendon Ayanbadejo and Trevor Pryce),4.110,4.850
1,2:49,2,2,BAL 14,7,3,Fred Taylor middle for 2 yards (tackle by Kelly Gregg and Ray Lewis),4.850,4.780
1,1:52,1,10,BAL 12,7,3,Tom Brady pass incomplete short right intended for Sam Aiken,4.780,4.100
1,1:48,2,10,BAL 12,7,3,Fred Taylor right guard for 8 yards (tackle by Ray Lewis and Brendon Ayanbadejo),4.100,4.840
1,1:06,3,2,BAL 4,7,3,Fred Taylor middle for 1 yard (tackle by Justin Bannan and Trevor Pryce),4.840,3.060
1,0:27,4,1,BAL 3,7,3,Sammy Morris middle for 2 yards (tackle by Ray Lewis and Dannell Ellerbe),3.060,6.970
Quarter,Time,Down,ToGo,Location,BAL,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,1,BAL 1,7,3,"Penalty on Dan Koppen: False Start, 5 yards (no play)",6.970,5.830
2,15:00,1,6,BAL 6,7,3,Tom Brady right end for 5 yards (tackle by Ray Lewis),5.830,5.910
2,14:16,2,1,BAL 1,7,9,"Tom Brady middle for 1 yard, touchdown",5.910,7.000
2,,,,BAL 2,7,10,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,7,10,"Stephen Gostkowski kicks off 73 yards, returned by Chris Carr for 27 yards (tackle by Pierre Woods)",0.000,0.540
2,14:03,1,10,BAL 24,7,10,Ray Rice left end for 4 yards (tackle by Darius Butler),0.540,0.540
2,13:29,2,6,BAL 28,7,10,Joe Flacco pass complete deep middle to Todd Heap for 22 yards (tackle by Darius Butler),0.540,2.260
2,12:52,1,10,,7,10,Ray Rice left end for 12 yards (tackle by James Sanders and Jonathan Wilhite),2.260,3.050
2,12:09,1,10,NWE 38,7,10,Joe Flacco pass incomplete deep middle intended for Derrick Mason (defended by Darius Butler),3.050,2.510
2,12:02,2,10,NWE 38,7,10,Joe Flacco pass incomplete short right intended for Kelley Washington,2.510,1.820
2,11:58,3,10,NWE 38,7,10,Joe Flacco pass incomplete deep left intended for Derrick Mason (defended by Brandon Meriweather),1.820,0.720
2,11:51,4,10,NWE 38,7,10,Sam Koch punts 29 yards,0.720,0.380
2,11:42,1,10,NWE 9,7,10,Tom Brady pass complete short right to Wes Welker for 4 yards (tackle by Dannell Ellerbe),-0.380,-0.480
2,11:01,2,6,NWE 13,7,10,Kevin Faulk left guard for -1 yards (tackle by Dannell Ellerbe and Ray Lewis),-0.480,-1.070
2,10:16,3,7,NWE 12,7,10,Tom Brady pass complete short left to Sammy Morris for 8 yards (tackle by Fabian Washington),-1.070,0.280
2,9:42,1,10,NWE 20,7,10,Tom Brady pass complete deep middle to Ben Watson for 34 yards (tackle by Ed Reed),0.280,2.520
2,9:00,1,10,BAL 46,7,10,Tom Brady pass incomplete short left intended for Ben Watson,2.520,1.980
2,8:54,2,10,BAL 46,7,10,Sammy Morris middle for 6 yards (tackle by Dawan Landry and Paul Kruger),1.980,2.080
2,8:10,3,4,BAL 40,7,10,Tom Brady pass incomplete deep left intended for Randy Moss. Penalty on Randy Moss: Offensive Pass Interfere (Declined),2.080,0.590
2,8:05,4,4,BAL 40,7,10,"Chris Hanson punts 40 yards, touchback",0.590,-0.280
2,7:58,1,10,BAL 20,7,10,Joe Flacco pass complete short right to Todd Heap for 5 yards (tackle by Myron Pryor),0.280,0.410
2,7:14,2,5,BAL 25,7,10,Joe Flacco pass incomplete short right intended for Willis McGahee,0.410,-0.300
2,7:11,3,5,BAL 25,7,10,"Joe Flacco pass incomplete. Penalty on Joe Flacco: Intentional Grounding, 10 yards",-0.300,-2.440
2,7:02,4,15,BAL 15,7,10,"Sam Koch punts 57 yards, returned by Kevin Faulk for 9 yards (tackle by Matt Lawrence)",-2.440,-1.400
2,6:51,1,10,NWE 37,7,10,Laurence Maroney middle for 5 yards (tackle by Haloti Ngata and Ray Lewis),1.400,1.530
2,6:22,2,5,NWE 42,7,10,Tom Brady pass complete deep left to Randy Moss for 16 yards,1.530,2.790
2,5:56,1,10,BAL 42,7,10,Laurence Maroney right guard for -1 yards (tackle by Terrell Suggs and Trevor Pryce),2.790,2.110
