Unnamed: 0,HOU,CIN
First Downs,18,22
Rush-Yds-TDs,23-126-0,25-98-0
Cmp-Att-Yd-TD-INT,17-26-174-1-0,25-34-276-1-0
Sacked-Yards,7-46,2-3
Net Pass Yards,128,273
Total Yards,254,371
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,9-90,14-117
Third Down Conv.,4-11,4-10
Fourth Down Conv.,0-1,0-0
Time of Possession,25:26,34:34
