Quarter,Time,Tm,Detail,HOU,CIN
1.0,4:35,Bengals,Shayne Graham 24 yard field goal,0,3
2.0,13:31,Texans,Kris Brown 28 yard field goal,3,3
,1:09,Bengals,Jeremi Johnson 1 yard pass from Carson Palmer (Shayne Graham kick),3,10
3.0,7:40,Texans,Moran Norris 4 yard pass from David Carr (Kris Brown kick),10,10
4.0,5:04,Bengals,Shayne Graham 27 yard field goal,10,13
,1:10,Bengals,Shayne Graham 46 yard field goal,10,16
