Quarter,Time,Down,ToGo,Location,GNB,TAM,Detail,EPB,EPA
1,6:53,2,9,TAM 16,0,0,Brett Favre pass complete to William Henderson for 9 yards (tackle by John Lynch),4.000,5.600
1,6:30,1,7,TAM 7,0,0,Ahman Green middle for 3 yards (tackle by Chartric Darby),5.600,5.340
1,5:51,2,4,TAM 4,6,0,"Brett Favre pass complete to Donald Driver for 4 yards, touchdown",5.340,7.000
1,5:51,,,TAM 4,7,0,Ryan Longwell kicks extra point good,0.000,0.000
1,5:51,,,GNB 30,7,0,"Ryan Longwell kicks off 67 yards, returned by Aaron Stecker for 26 yards (tackle by Antuan Edwards)",0.000,0.870
1,5:37,1,10,TAM 29,7,0,"Rob Johnson pass complete to Joe Jurevicius for 9 yards. Joe Jurevicius fumbles, ball out of bounds at TAM-41",0.870,1.540
1,5:16,2,1,TAM 38,7,0,Mike Alstott middle for 4 yards (tackle by Mike McKenzie),1.540,1.730
1,4:39,1,10,TAM 42,7,0,Rob Johnson right end for 3 yards (tackle by Hardy Nickerson and Darren Sharper),1.730,1.590
1,4:07,2,7,TAM 45,7,0,Michael Pittman middle for 5 yards (tackle by Keith McKenzie),1.590,1.550
1,3:27,3,2,,7,0,Rob Johnson pass complete to Karl Williams for 16 yards (tackle by Matt Bowen),1.550,3.310
1,2:59,1,10,GNB 34,7,0,Michael Pittman left tackle for 4 yards (tackle by Darren Sharper),3.310,3.310
1,2:19,2,6,GNB 30,7,0,Rob Johnson sacked by Mike McKenzie for -9 yards,3.310,1.420
1,1:47,3,15,GNB 39,7,0,Rob Johnson sacked by Kabeer Gbaja-Biamila for -5 yards,1.420,0.330
1,1:22,4,20,GNB 44,7,0,Tom Tupa punts 36 yards,0.330,0.380
1,1:09,4,20,GNB 44,,,Timeout #1 by Tampa Bay Buccaneers,0.330,0.380
1,1:09,1,10,GNB 8,7,0,Ahman Green middle for 2 yards (tackle by Derrick Brooks),-0.380,-0.630
1,0:34,2,8,GNB 10,7,0,Ahman Green middle for 10 yards (tackle by John Lynch and Dexter Jackson),-0.630,0.280
Quarter,Time,Down,ToGo,Location,GNB,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 20,7,0,Ahman Green middle for 3 yards (tackle by Ellis Wyms and Chartric Darby),0.280,0.140
2,14:26,2,7,GNB 23,7,0,Ahman Green middle for 3 yards (tackle by Chartric Darby),0.140,-0.160
2,13:49,3,4,GNB 26,7,0,Brett Favre pass incomplete intended for Terry Glenn,-0.160,-1.630
2,13:42,4,4,GNB 26,7,0,"Josh Bidwell punts 48 yards, returned by Karl Williams for 5 yards (tackle by Tod McBride)",-1.630,-1.000
2,13:30,1,10,TAM 31,7,0,Michael Pittman right end for 4 yards (tackle by Nate Wayne),1.000,1.000
2,12:51,2,6,TAM 35,7,0,Rob Johnson left tackle for 5 yards (tackle by Na'il Diggs),1.000,0.960
2,12:09,3,1,TAM 40,7,0,Mike Alstott middle for no gain (tackle by Tyrone Williams and Keith McKenzie),0.960,-0.720
2,11:46,4,1,TAM 40,7,0,"Tom Tupa punts 47 yards, fair catch by Darrien Gordon",-0.720,0.320
2,11:36,1,10,GNB 13,7,0,Brett Favre pass incomplete intended for Ahman Green,-0.320,-0.770
2,11:31,2,10,GNB 13,7,0,Brett Favre sacked by Chartric Darby for -8 yards,-0.770,-2.360
2,10:54,3,18,GNB 5,7,0,Ahman Green middle for 10 yards (tackle by Alshermond Singleton),-2.360,-2.440
2,10:23,4,8,GNB 15,7,0,"Josh Bidwell punts 54 yards, returned by Karl Williams for -5 yards, lateral to Dexter Jackson for -1 yards (tackle by Torrance Marshall)",-2.440,-0.610
2,10:04,1,10,TAM 25,7,0,Michael Pittman right tackle for -1 yards (tackle by Na'il Diggs),0.610,-0.070
2,9:22,2,11,TAM 24,7,0,Brad Johnson pass complete to Keenan McCardell for 5 yards (tackle by Marques Anderson),-0.070,-0.100
2,8:38,3,6,TAM 29,7,0,Brad Johnson pass incomplete intended for Keyshawn Johnson,-0.100,-1.440
2,8:31,4,6,TAM 29,7,0,"Tom Tupa punts 35 yards, out of bounds",-1.440,-1.330
2,8:23,1,10,GNB 36,7,0,Brett Favre pass complete to Bubba Franks for 4 yards (tackle by Derrick Brooks),1.330,1.330
2,7:40,2,6,GNB 40,7,0,Brett Favre pass incomplete intended for Donald Driver (defended by Dwight Smith),1.330,0.630
2,7:32,3,6,GNB 40,7,0,Brett Favre pass incomplete intended for Terry Glenn,0.630,-0.720
2,7:23,4,6,GNB 40,7,0,"Josh Bidwell punts 48 yards, returned by Karl Williams for 5 yards (tackle by Torrance Marshall). Penalty on Ronde Barber: Offensive Holding, 6 yards",-0.720,0.380
2,7:10,1,10,TAM 6,7,0,"Penalty on Keenan McCardell: False Start, 3 yards (no play)",-0.380,-0.490
2,7:10,1,13,TAM 3,7,0,Brad Johnson pass complete to Joe Jurevicius for 9 yards (tackle by Tyrone Williams and Nate Wayne),-0.490,-0.340
2,6:39,2,4,TAM 12,7,0,Brad Johnson right end for 5 yards (tackle by Gilbert Brown),-0.340,-0.060
2,5:50,1,10,TAM 17,7,0,Brad Johnson pass complete to Aaron Stecker for -4 yards (tackle by Gilbert Brown),-0.060,-1.060
2,5:05,2,14,TAM 13,7,0,Brad Johnson pass complete to Joe Jurevicius for 12 yards (tackle by Darren Sharper),-1.060,-0.240
2,4:22,3,2,TAM 25,7,0,Brad Johnson pass incomplete intended for Joe Jurevicius,-0.240,-1.700
2,4:16,4,2,TAM 25,7,0,"Tom Tupa punts 56 yards. Penalty on Keith McKenzie: Offensive Holding, 9 yards",-1.700,0.380
2,4:02,1,10,GNB 10,7,0,Ahman Green middle for no gain (tackle by Derrick Brooks and John Lynch),-0.380,-0.780
2,3:21,2,10,GNB 10,7,0,Brett Favre pass complete to Terry Glenn for 8 yards (tackle by Brian Kelly),-0.780,-0.480
2,2:44,3,2,GNB 18,7,0,Ahman Green left end for 3 yards (tackle by Dexter Jackson and John Lynch),-0.480,0.340
2,2:00,1,10,GNB 21,7,0,Tony Fisher middle for 2 yards (tackle by Alshermond Singleton),0.340,0.070
2,1:27,2,8,GNB 23,7,0,Tony Fisher middle for 3 yards (tackle by Shelton Quarles),0.070,-0.230
2,0:42,3,5,GNB 26,7,0,Ahman Green middle for no gain (tackle by Shelton Quarles and Simeon Rice),-0.230,-1.630
2,0:35,3,5,GNB 26,,,Timeout #2 by Tampa Bay Buccaneers,-0.230,-1.630
2,0:35,4,5,GNB 26,7,0,"Josh Bidwell punts 50 yards, returned by Karl Williams for 17 yards (tackle by Tony Fisher)",-1.630,-1.660
2,0:23,1,10,TAM 41,7,0,Brad Johnson pass complete to Keyshawn Johnson for 39 yards (tackle by Na'il Diggs),1.660,4.240
2,0:11,1,10,TAM 41,,,Timeout #3 by Tampa Bay Buccaneers,1.660,4.240
2,0:11,1,10,GNB 20,7,0,Brad Johnson pass incomplete intended for Keyshawn Johnson,4.240,3.690
2,0:05,2,10,GNB 20,7,3,Martin Gramatica 38 yard field goal good,3.690,3.000
Quarter,Time,Down,ToGo,Location,GNB,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 30,7,3,"Ryan Longwell kicks off 63 yards, returned by Aaron Stecker for 29 yards (tackle by Torrance Marshall)",0.000,1.330
3,15:00,1,10,TAM 36,7,3,Michael Pittman left end for 3 yards (tackle by Na'il Diggs and Vonnie Holliday),1.330,1.200
3,14:19,2,7,TAM 39,7,3,Brad Johnson pass complete to Michael Pittman for no gain,1.200,0.500
3,13:38,3,7,TAM 39,7,3,"Brad Johnson pass incomplete intended for Michael Pittman. Penalty on Tod McBride: Roughing the Passer, 15 yards (no play)",0.500,2.520
3,13:32,1,10,GNB 46,7,3,Michael Pittman middle for 2 yards (tackle by Na'il Diggs),2.520,2.250
3,12:56,2,8,GNB 44,7,3,Brad Johnson pass complete to Keenan McCardell for 5 yards (tackle by Tyrone Williams),2.250,2.210
3,12:17,3,3,GNB 39,7,3,Brad Johnson pass incomplete intended for Keenan McCardell (defended by Vonnie Holliday),2.210,0.660
3,12:12,4,3,GNB 39,7,3,Tom Tupa punts 33 yards,0.660,0.380
3,12:03,1,10,GNB 6,7,3,Ahman Green middle for 2 yards (tackle by Shelton Quarles),-0.380,-0.630
3,11:27,2,8,GNB 8,7,3,Ahman Green middle for 4 yards (tackle by Alshermond Singleton and Dexter Jackson),-0.630,-0.720
3,10:47,3,4,GNB 12,7,3,Brett Favre pass incomplete intended for Donald Driver,-0.720,-2.490
3,10:42,4,4,GNB 12,7,3,"Josh Bidwell punts 54 yards, returned by Karl Williams for 6 yards (tackle by Matt Bowen)",-2.490,-1.600
3,10:30,1,10,TAM 40,7,3,Brad Johnson pass complete to Michael Pittman for 23 yards (tackle by Hardy Nickerson),1.600,3.120
3,9:55,1,10,GNB 37,7,3,Brad Johnson pass complete to Ken Dilger for 9 yards (tackle by Marques Anderson and Tyrone Williams),3.120,3.790
3,9:12,2,1,GNB 28,7,3,Mike Alstott middle for 3 yards (tackle by Rod Walker),3.790,3.910
3,8:31,1,10,GNB 25,7,3,Michael Pittman left end for 2 yards (tackle by Nate Wayne),3.910,3.630
3,7:50,2,8,GNB 23,7,3,Brad Johnson pass incomplete intended for Keyshawn Johnson. Penalty on Keyshawn Johnson: Illegal Motion (Declined),3.630,2.940
3,7:45,3,8,GNB 23,7,3,"Brad Johnson pass incomplete intended for Keenan McCardell. Penalty on Brad Johnson: Intentional Grounding, 10 yards",2.940,1.150
3,7:37,4,18,GNB 33,7,6,Martin Gramatica 51 yard field goal good,1.150,3.000
3,7:37,,,TAM 30,7,6,"Martin Gramatica kicks off 58 yards, returned by Javon Walker for 14 yards (tackle by Jameel Cook)",0.000,0.670
3,7:27,1,10,GNB 26,7,6,Brett Favre pass incomplete intended for Terry Glenn is intercepted by Brian Kelly at GNB-49 and returned for 31 yards,0.670,-4.370
3,7:13,1,10,GNB 18,7,6,Mike Alstott middle for 6 yards (tackle by Nate Wayne),4.370,4.810
3,6:31,2,4,GNB 12,7,6,Mike Alstott middle for 6 yards (tackle by Darren Sharper and Nate Wayne),4.810,5.830
3,5:48,1,6,GNB 6,7,6,Mike Alstott middle for 2 yards (tackle by Na'il Diggs),5.830,5.340
3,5:07,2,4,GNB 4,7,12,"Brad Johnson pass complete to Joe Jurevicius for 4 yards, touchdown",5.340,7.000
,,,,,,,"TAM challenged the ruling, and the original play was overturned.",,
3,5:00,2,4,GNB 4,,,Timeout #1 by Green Bay Packers,5.340,5.340
3,5:00,2,,GNB 4,7,14,"Two Point Attempt: Brad Johnson pass complete to Keyshawn Johnson, conversion succeeds",1.000,1.000
3,5:00,,,TAM 30,7,14,"Martin Gramatica kicks off 62 yards, returned by Javon Walker for 18 yards (tackle by Todd Yoder)",0.000,0.670
3,4:53,1,10,GNB 26,7,14,Brett Favre pass complete to Tony Fisher for 3 yards (tackle by Derrick Brooks),0.670,0.540
3,4:17,2,7,GNB 29,7,14,Brett Favre pass complete to William Henderson for 10 yards (tackle by Shelton Quarles),0.540,1.530
3,3:42,1,10,GNB 39,7,14,Ahman Green left guard for 3 yards (tackle by Ellis Wyms),1.530,1.390
3,3:09,2,7,GNB 42,7,14,Brett Favre right end for 17 yards (tackle by John Lynch),1.390,2.850
3,2:29,1,10,TAM 41,7,14,Brett Favre pass incomplete intended for Ahman Green (defended by Ronde Barber),2.850,2.310
3,2:24,2,10,TAM 41,7,14,Brett Favre pass complete to Terry Glenn for 13 yards (tackle by Dexter Jackson),2.310,3.710
3,1:45,1,10,TAM 28,7,14,Ahman Green right guard for 8 yards (tackle by Ronde Barber and Simeon Rice),3.710,4.250
3,1:12,2,2,TAM 20,7,14,Ahman Green middle for -1 yards (tackle by Greg Spires and Nate Webster),4.250,3.400
3,0:32,3,3,TAM 21,7,14,"Brett Favre pass incomplete intended for Terry Glenn is intercepted by Ronde Barber at TAM-15. Penalty on Javon Walker: Unnecessary Roughness, 15 yards",3.400,-0.940
3,0:24,1,10,TAM 30,7,14,"Michael Pittman right end for 2 yards (tackle by Nate Wayne). Penalty on Keyshawn Johnson: Illegal Formation, 5 yards (no play)",0.940,0.610
Quarter,Time,Down,ToGo,Location,GNB,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,15,TAM 25,7,14,Brad Johnson pass complete to Joe Jurevicius for 7 yards (tackle by Nate Wayne and Tod McBride),0.610,0.660
4,14:20,2,8,TAM 32,7,14,Michael Pittman for 7 yards (tackle by Na'il Diggs),0.660,0.890
4,13:48,3,1,TAM 39,7,14,Brad Johnson pass incomplete intended for Rickey Dudley,0.890,-0.780
4,13:41,4,1,TAM 39,7,14,"Tom Tupa punts 48 yards, returned by Darrien Gordon for 8 yards (tackle by Nate Webster)",-0.780,-0.340
4,13:28,1,10,GNB 21,7,14,"Ahman Green middle for 15 yards (tackle by Nate Webster). Penalty on Bubba Franks: Offensive Holding, 10 yards (no play)",0.340,-0.720
4,13:02,1,20,GNB 11,7,14,Ahman Green middle for 1 yard (tackle by Simeon Rice and Dexter Jackson),-0.720,-1.440
4,12:21,2,19,GNB 12,7,14,Brett Favre pass complete to Ahman Green for 5 yards (tackle by Derrick Brooks and Ellis Wyms),-1.440,-1.590
4,11:40,3,14,GNB 17,7,14,Brett Favre pass complete to Tony Fisher for 5 yards (tackle by Derrick Brooks and Ellis Wyms),-1.590,-1.900
4,11:03,4,9,GNB 22,7,14,"Josh Bidwell punts 46 yards, returned by Karl Williams for 4 yards (tackle by Robert Ferguson). Penalty on Dexter Jackson: Face Mask (15 Yards), 15 yards",-1.900,-0.340
4,10:51,1,10,TAM 21,7,14,Brad Johnson pass complete to Keyshawn Johnson for 9 yards (tackle by Tyrone Williams),0.340,1.020
4,10:09,2,1,TAM 30,7,14,Mike Alstott right tackle for 2 yards (tackle by Billy Lyon and Steve Warren),1.020,1.070
4,9:27,1,10,TAM 32,7,14,Brad Johnson pass incomplete intended for Keyshawn Johnson,1.070,0.530
4,9:21,2,10,TAM 32,7,14,Brad Johnson pass incomplete intended for Ken Dilger,0.530,-0.160
4,9:16,3,10,TAM 32,7,14,Brad Johnson pass incomplete intended for Keenan McCardell (defended by Mike McKenzie),-0.160,-1.240
4,9:12,4,10,TAM 32,7,14,"Tom Tupa punts 45 yards, returned by Darrien Gordon for 17 yards (tackle by Dwight Smith)",-1.240,-1.600
4,8:58,1,10,GNB 40,7,14,"Brett Favre pass incomplete intended for Donald Driver is intercepted by Dexter Jackson at TAM-37 and returned for 58 yards. Penalty on Mike Flanagan: Unnecessary Roughness, 3 yards",1.600,-6.740
4,8:42,1,2,GNB 2,7,14,Mike Alstott right tackle for no gain (tackle by Hardy Nickerson),6.740,5.720
4,8:15,2,2,GNB 2,7,14,Michael Pittman left end for -1 yards (tackle by Billy Lyon and Nate Wayne),5.720,4.720
4,7:31,3,3,GNB 3,7,20,"Brad Johnson pass complete to Ken Dilger for 3 yards, touchdown",4.720,7.000
4,7:31,,,GNB 3,7,21,Martin Gramatica kicks extra point good,0.000,0.000
4,7:31,,,TAM 30,7,21,"Martin Gramatica kicks off 63 yards, returned by Javon Walker for 20 yards (tackle by Corey Ivy)",0.000,0.740
4,7:17,1,10,GNB 27,7,21,Brett Favre sacked by Simeon Rice for -6 yards,0.740,-0.610
4,6:53,2,16,GNB 21,7,21,Brett Favre pass complete to Donald Driver for 14 yards (tackle by Derrick Brooks),-0.610,0.560
4,6:08,3,2,GNB 35,7,21,Brett Favre pass complete to Ahman Green for 20 yards (tackle by Dexter Jackson),0.560,2.590
4,5:32,1,10,TAM 45,7,21,Brett Favre pass complete to Bubba Franks for 6 yards (tackle by Derrick Brooks),2.590,2.850
4,4:57,2,4,TAM 39,7,21,Tony Fisher middle for 2 yards (tackle by Shelton Quarles),2.850,2.410
4,4:24,3,2,TAM 37,7,21,Brett Favre pass incomplete intended for Bubba Franks,2.410,0.790
4,4:17,4,2,TAM 37,7,21,Brett Favre pass complete to Javon Walker for 7 yards (tackle by Shelton Quarles),0.790,3.580
4,3:48,1,10,TAM 30,7,21,Brett Favre pass incomplete intended for Javon Walker,3.580,3.030
4,3:43,2,10,TAM 30,7,21,Brett Favre pass incomplete intended for Terry Glenn (defended by Simeon Rice),3.030,2.340
4,3:38,2,10,TAM 30,,,Timeout #1 by Tampa Bay Buccaneers,3.030,2.340
4,3:38,3,10,TAM 30,7,21,Brett Favre pass complete to Donald Driver for 14 yards (tackle by Dexter Jackson),2.340,4.510
4,3:06,1,10,TAM 16,7,21,Brett Favre pass incomplete intended for Donald Driver is intercepted by Brian Kelly at TAM-4,4.510,0.380
4,2:55,1,10,TAM 4,7,21,Michael Pittman middle for no gain (tackle by Nate Wayne),-0.380,-0.780
4,2:49,1,10,TAM 4,,,Timeout #2 by Green Bay Packers,-0.380,-0.780
4,2:49,2,10,TAM 4,7,21,Michael Pittman right tackle for 5 yards (tackle by Nate Wayne),-0.780,-0.840
4,2:42,2,10,TAM 4,,,Timeout #3 by Green Bay Packers,-0.780,-0.840
4,2:42,3,5,TAM 9,7,21,Michael Pittman left guard for 1 yard (tackle by Nate Wayne),-0.840,-2.490
4,2:00,4,4,TAM 10,7,21,Tom Tupa punts 49 yards,-2.490,-1.660
4,1:48,1,10,GNB 41,7,21,Brett Favre pass complete to Ahman Green for 4 yards (tackle by Shelton Quarles),1.660,1.660
4,1:26,2,6,GNB 45,7,21,Brett Favre pass incomplete intended for Terry Glenn,1.660,0.960
4,1:20,3,6,GNB 45,7,21,Brett Favre pass complete to Terry Glenn for 10 yards (tackle by Dwight Smith),0.960,2.590
4,0:56,1,10,TAM 45,7,21,"Penalty on Mike Flanagan: False Start, 5 yards (no play)",2.590,2.260
4,0:41,1,15,,7,21,Brett Favre pass incomplete intended for Donald Driver,2.260,1.370
4,0:34,2,15,,7,21,Brett Favre pass complete to Terry Glenn for 30 yards (tackle by Brian Kelly),1.370,4.240
4,0:13,1,10,TAM 20,7,21,Brett Favre pass incomplete intended for Donald Driver,4.240,3.690
4,0:07,2,10,TAM 20,7,21,Brett Favre sacked by Simeon Rice for -11 yards,3.690,1.550
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
