Quarter,Time,Tm,Detail,GNB,TAM
1.0,5:44,Packers,Donald Driver 4 yard pass from Brett Favre (Ryan Longwell kick),7,0
2.0,0:00,Buccaneers,Martin Gramatica 38 yard field goal,7,3
3.0,7:33,Buccaneers,Martin Gramatica 51 yard field goal,7,6
,5:00,Buccaneers,Joe Jurevicius 4 yard pass from Brad Johnson (Keyshawn Johnson pass from Brad Johnson),7,14
4.0,7:24,Buccaneers,Ken Dilger 3 yard pass from Brad Johnson (Martin Gramatica kick),7,21
