Quarter,Time,Down,ToGo,Location,LAC,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 64 yards, returned by Michael Davis for 19 yards (tackle by Trevor Reilly)",0.000,-0.280
1,14:56,1,10,LAC 20,0,0,Philip Rivers pass complete short left to Keenan Allen for 15 yards (tackle by Johnson Bademosi),0.280,1.270
1,14:31,1,10,LAC 35,0,0,Melvin Gordon right guard for 5 yards (tackle by Johnson Bademosi and Lawrence Guy),1.270,1.400
1,13:50,2,5,LAC 40,0,0,Travis Benjamin for 7 yards,1.400,2.060
1,13:19,1,10,LAC 47,0,0,Philip Rivers pass complete short right to Hunter Henry for 7 yards (tackle by Trey Flowers),2.060,2.460
1,12:46,2,3,NWE 46,0,0,Melvin Gordon left tackle for 2 yards,2.460,2.020
1,12:05,3,1,NWE 44,0,0,Branden Oliver middle for 2 yards (tackle by Adam Butler and Deatrich Wise Jr.),2.020,2.790
1,11:21,1,10,NWE 42,0,0,Branden Oliver left end for no gain (tackle by Devin McCourty and Lawrence Guy),2.790,2.240
1,10:43,2,10,NWE 42,0,0,"Penalty on Michael Schofield: False Start, 5 yards (no play)",2.240,1.570
1,10:26,2,15,NWE 47,0,0,Melvin Gordon left tackle for -2 yards (tackle by Elandon Roberts),1.570,0.630
1,9:43,3,17,NWE 49,0,0,Philip Rivers pass complete short middle to Antonio Gates for 16 yards,0.630,1.210
1,8:57,4,1,NWE 33,0,0,"Nick Novak 51 yard field goal no good, blocked by Lawrence Guy",1.210,-1.660
1,8:48,1,10,NWE 41,0,0,Dion Lewis left tackle for no gain (tackle by Trevor Williams),1.660,1.120
1,8:22,2,10,NWE 41,0,0,Tom Brady pass complete short right to Brandin Cooks for -2 yards (tackle by Hayes Pullard),1.120,0.170
1,7:51,3,12,NWE 39,0,0,Tom Brady pass complete short right to James White for 10 yards (tackle by Tre Boston),0.170,-0.130
1,7:16,4,2,NWE 49,0,0,Ryan Allen punts 39 yards,-0.130,0.350
1,7:08,1,10,LAC 12,0,0,Melvin Gordon left tackle for 1 yard (tackle by Jordan Richards),-0.350,-0.700
1,6:30,2,9,LAC 13,6,0,"Melvin Gordon right end for 87 yards, touchdown",-0.700,7.000
1,6:15,,,NWE 15,7,0,Nick Novak kicks extra point good,0.000,0.000
1,6:15,,,LAC 35,7,0,"Nick Novak kicks off 67 yards, returned by Dion Lewis for 25 yards (tackle by Rayshawn Jenkins)",0.000,-0.480
1,6:07,1,10,NWE 23,7,0,Tom Brady pass incomplete deep right intended for Rob Gronkowski,0.480,-0.070
1,6:03,2,10,NWE 23,7,0,Tom Brady pass complete short left to Dion Lewis for 11 yards (tackle by Trevor Williams),-0.070,1.200
1,5:34,1,10,NWE 34,7,0,Dion Lewis left guard for -1 yards (tackle by Jahleel Addae),1.200,0.520
1,5:08,2,11,NWE 33,7,0,Tom Brady pass incomplete deep left intended for Rob Gronkowski,0.520,-0.160
1,5:04,3,11,NWE 33,7,0,Tom Brady pass complete short left to James White for 27 yards (tackle by Tre Boston),-0.160,2.920
1,4:27,1,10,LAC 40,7,0,Tom Brady pass complete short right to Dion Lewis for -1 yards (tackle by Desmond King),2.920,2.240
1,3:50,2,11,LAC 41,7,0,Dion Lewis middle for 7 yards (tackle by Chris McCain),2.240,2.480
1,3:23,3,4,LAC 34,7,0,"Tom Brady pass incomplete deep right intended for James White. Penalty on Darius Philon: Defensive 12 On-field, 5 yards (no play)",2.480,3.640
1,3:17,1,10,LAC 29,7,0,Dion Lewis middle for 1 yard (tackle by Jahleel Addae),3.640,3.240
1,2:51,2,9,LAC 28,7,0,Tom Brady pass complete short middle to Brandin Cooks for 6 yards (tackle by Hayes Pullard),3.240,3.340
1,2:14,3,3,LAC 22,7,0,Tom Brady pass complete short middle to Danny Amendola for 9 yards (tackle by Adrian Phillips),3.340,4.710
