Quarter,Time,Tm,Detail,LAC,NWE
1.0,6:15,Chargers,Melvin Gordon 87 yard rush (Nick Novak kick),7,0
2.0,14:56,Patriots,Rob Gronkowski 2 yard pass from Tom Brady (Stephen Gostkowski kick),7,7
,9:08,Patriots,"Safety, Travis Benjamin tackled in end zone by Brandon King",7,9
,4:06,Patriots,Stephen Gostkowski 25 yard field goal,7,12
,0:20,Patriots,Stephen Gostkowski 36 yard field goal,7,15
3.0,5:25,Patriots,Stephen Gostkowski 43 yard field goal,7,18
4.0,8:30,Chargers,Travis Benjamin 24 yard pass from Philip Rivers (pass failed),13,18
,1:08,Patriots,Stephen Gostkowski 26 yard field goal,13,21
