Unnamed: 0,LAC,NWE
First Downs,16,27
Rush-Yds-TDs,21-157-1,32-97-0
Cmp-Att-Yd-TD-INT,17-30-212-1-1,32-47-333-1-0
Sacked-Yards,1-20,3-16
Net Pass Yards,192,317
Total Yards,349,414
Fumbles-Lost,2-0,0-0
Turnovers,1,0
Penalties-Yards,10-77,6-80
Third Down Conv.,3-10,9-19
Fourth Down Conv.,1-1,1-1
Time of Possession,23:01,36:59
