Unnamed: 0,SEA,ARI
First Downs,21,20
Rush-Yds-TDs,29-120-0,33-113-1
Cmp-Att-Yd-TD-INT,20-28-243-3-0,21-34-232-2-1
Sacked-Yards,3-15,0-0
Net Pass Yards,228,232
Total Yards,348,345
Fumbles-Lost,4-3,0-0
Turnovers,3,1
Penalties-Yards,6-40,9-77
Third Down Conv.,5-12,6-13
Fourth Down Conv.,0-1,0-0
Time of Possession,25:21,34:39
