Unnamed: 0,ATL,CLE
First Downs,25,19
Rush-Yds-TDs,19-71-0,29-211-1
Cmp-Att-Yd-TD-INT,38-52-330-2-0,17-21-216-3-1
Sacked-Yards,2-19,0-0
Net Pass Yards,311,216
Total Yards,382,427
Fumbles-Lost,4-2,1-0
Turnovers,2,1
Penalties-Yards,1-5,7-38
Third Down Conv.,5-14,4-8
Fourth Down Conv.,2-4,0-0
Time of Possession,31:23,28:37
