Quarter,Time,Tm,Detail,ATL,CLE
1.0,4:36,Browns,Rashard Higgins 28 yard pass from Baker Mayfield (Greg Joseph kick),0,7
2.0,12:18,Falcons,Giorgio Tavecchio 40 yard field goal,3,7
,5:04,Falcons,Julio Jones 1 yard pass from Matt Ryan (Giorgio Tavecchio kick),10,7
,0:55,Browns,Nick Chubb 13 yard pass from Baker Mayfield (Greg Joseph kick),10,14
3.0,10:27,Browns,Duke Johnson 11 yard pass from Baker Mayfield (Greg Joseph kick),10,21
,8:45,Browns,Nick Chubb 92 yard rush (Greg Joseph kick),10,28
4.0,4:24,Falcons,Austin Hooper 3 yard pass from Matt Ryan,16,28
