Quarter,Time,Down,ToGo,Location,CAR,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"John Kasay kicks off 66 yards, returned by Fred McAfee for 30 yards (tackle by Vinny Ciurciu)",0.000,1.200
1,14:54,1,10,NOR 34,0,0,Antowain Smith left guard for 2 yards (tackle by Jordan Carstens and Dan Morgan),1.200,0.930
1,14:17,2,8,NOR 36,0,0,Antowain Smith right guard for 5 yards (tackle by Marlon McCree),0.930,0.890
1,13:37,3,3,NOR 41,0,0,Todd Bouman pass complete to Devery Henderson for 1 yard (tackle by Marlon McCree),0.890,-0.590
1,13:09,4,2,NOR 42,0,0,"Mitch Berger punts 40 yards, returned by Steve Smith for 12 yards (tackle by T.J. Slaughter)",-0.590,-0.940
1,12:59,1,10,CAR 30,0,0,DeShaun Foster left guard for 3 yards (tackle by Charles Grant),0.940,0.800
1,12:23,2,7,CAR 33,0,0,DeShaun Foster up the middle for 2 yards (tackle by Charles Grant),0.800,0.370
1,11:42,3,5,CAR 35,0,0,Jake Delhomme pass complete to Drew Carter for 40 yards (tackle by Jason Craft),0.370,3.910
1,11:19,1,10,NOR 25,0,0,"Jake Delhomme pass complete to Ricky Proehl for no gain. Penalty on NOR: Defensive 12 On-field, 5 yards (no play)",3.910,4.640
1,10:45,1,5,NOR 20,6,0,"Steve Smith left end for 20 yards, touchdown",4.640,7.000
1,,,,NOR 2,7,0,John Kasay kicks extra point good,0.000,0.000
1,,,,CAR 30,7,0,"John Kasay kicks off 61 yards, returned by Fred McAfee for 21 yards (tackle by Karl Hankton). Penalty on Steve Gleason: Illegal Block Above the , 10 yards",0.000,0.280
1,10:28,1,10,NOR 20,7,0,Todd Bouman pass complete to Joe Horn for 6 yards (tackle by Ken Lucas),0.280,0.540
1,9:47,2,4,NOR 26,7,0,Antowain Smith left tackle for 1 yard (tackle by Brentson Buckner and Mike Minter),0.540,-0.030
1,9:01,3,3,NOR 27,7,0,"Penalty on Montrae Holland: False Start, 5 yards (no play)",-0.030,-0.690
