Unnamed: 0,CAR,NOR
First Downs,19,15
Rush-Yds-TDs,43-161-2,22-94-0
Cmp-Att-Yd-TD-INT,13-21-176-1-1,17-34-193-1-4
Sacked-Yards,1-11,1-10
Net Pass Yards,165,183
Total Yards,326,277
Fumbles-Lost,1-1,2-2
Turnovers,2,6
Penalties-Yards,3-25,9-72
Third Down Conv.,8-17,4-12
Fourth Down Conv.,0-0,0-1
Time of Possession,34:54,25:06
