Unnamed: 0,HOU,JAX
First Downs,23,18
Rush-Yds-TDs,19-83-0,28-149-0
Cmp-Att-Yd-TD-INT,33-58-357-2-2,13-28-138-3-0
Sacked-Yards,3-34,1-6
Net Pass Yards,323,132
Total Yards,406,281
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,14-177,8-57
Third Down Conv.,8-17,4-14
Fourth Down Conv.,1-2,0-0
Time of Possession,35:22,24:38
