Unnamed: 0,NYG,BUF
First Downs,20,22
Rush-Yds-TDs,34-132-0,29-128-0
Cmp-Att-Yd-TD-INT,24-36-200-0-0,19-30-169-2-1
Sacked-Yards,3-15,0-0
Net Pass Yards,185,169
Total Yards,317,297
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,9-65,7-51
Third Down Conv.,10-19,6-12
Fourth Down Conv.,1-2,0-0
Time of Possession,31:24,28:36
