Quarter,Time,Tm,Detail,NYG,BUF
1.0,3:19,Giants,Graham Gano 29 yard field goal,3,0
2.0,5:08,Giants,Graham Gano 43 yard field goal,6,0
4.0,14:54,Bills,Deonte Harty 3 yard pass from Josh Allen (Tyler Bass kick),6,7
,10:35,Giants,Graham Gano 29 yard field goal,9,7
,3:48,Bills,Quintin Morris 15 yard pass from Josh Allen (Tyler Bass kick),9,14
