Unnamed: 0,IND,TEN
First Downs,20,21
Rush-Yds-TDs,29-100-1,35-219-0
Cmp-Att-Yd-TD-INT,21-28-351-1-2,15-25-163-2-2
Sacked-Yards,0-0,0-0
Net Pass Yards,351,163
Total Yards,451,382
Fumbles-Lost,0-0,2-0
Turnovers,2,2
Penalties-Yards,8-59,5-34
Third Down Conv.,7-12,8-13
Fourth Down Conv.,0-0,0-0
Time of Possession,30:55,29:05
