Quarter,Time,Tm,Detail,TEN,JAX
1.0,5:27,Titans,Rob Bironas 32 yard field goal,3,0
2.0,10:11,Jaguars,Maurice Jones-Drew 2 yard rush (Josh Scobee kick),3,7
,0:14,Jaguars,Maurice Jones-Drew 1 yard rush (Josh Scobee kick),3,14
3.0,9:12,Titans,Brandon Jones 13 yard pass from Kerry Collins (Rob Bironas kick),10,14
,7:14,Titans,Justin Gage 56 yard pass from Kerry Collins (Rob Bironas kick),17,14
4.0,3:57,Titans,Justin Gage 38 yard pass from Kerry Collins (Rob Bironas kick),24,14
