Unnamed: 0,TEN,JAX
First Downs,13,17
Rush-Yds-TDs,33-114-0,32-140-2
Cmp-Att-Yd-TD-INT,13-23-230-3-1,13-30-135-0-1
Sacked-Yards,1-0,4-18
Net Pass Yards,230,117
Total Yards,344,257
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,10-63,9-61
Third Down Conv.,1-12,3-15
Fourth Down Conv.,0-0,0-1
Time of Possession,27:33,32:27
