Unnamed: 0,MIN,GNB
First Downs,15,12
Rush-Yds-TDs,33-112-0,24-113-0
Cmp-Att-Yd-TD-INT,14-25-139-1-0,17-40-130-0-2
Sacked-Yards,3-15,1-4
Net Pass Yards,124,126
Total Yards,236,239
Fumbles-Lost,0-0,0-0
Turnovers,0,2
Penalties-Yards,2-10,6-79
Third Down Conv.,4-15,4-15
Fourth Down Conv.,0-0,0-4
Time of Possession,31:37,28:23
