Quarter,Time,Tm,Detail,DEN,IND
1.0,7:23,Colts,James Mungro 2 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
,0:38,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),0,14
2.0,8:11,Colts,Dallas Clark 19 yard pass from Peyton Manning (Mike Vanderjagt kick),0,21
,5:19,Broncos,Jason Elam 33 yard field goal,3,21
,4:29,Colts,Reggie Wayne 35 yard pass from Peyton Manning (Mike Vanderjagt kick),3,28
,0:06,Colts,Peyton Manning 1 yard rush (Mike Vanderjagt kick),3,35
3.0,9:01,Broncos,Rod Smith 9 yard pass from Jake Plummer (Jason Elam kick),10,35
,1:10,Broncos,Jeb Putzier 35 yard pass from Jake Plummer (Jason Elam kick),17,35
4.0,12:48,Colts,Reggie Wayne 43 yard pass from Peyton Manning (Mike Vanderjagt kick),17,42
,7:45,Broncos,Tatum Bell 1 yard rush (Jason Elam kick),24,42
,2:02,Colts,Dominic Rhodes 2 yard rush (Mike Vanderjagt kick),24,49
