Unnamed: 0,DEN,IND
First Downs,18,27
Rush-Yds-TDs,21-78-1,24-76-3
Cmp-Att-Yd-TD-INT,24-34-284-2-1,27-33-458-4-1
Sacked-Yards,3-24,1-4
Net Pass Yards,260,454
Total Yards,338,530
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,5-24,4-25
Third Down Conv.,3-12,7-10
Fourth Down Conv.,2-2,0-0
Time of Possession,30:42,29:18
