Quarter,Time,Tm,Detail,DAL,SFO
1.0,2:12,49ers,Robbie Gould 26 yard field goal,0,3
2.0,9:25,Cowboys,Dalton Schultz 4 yard pass from Dak Prescott (Brett Maher kick failed),6,3
,3:43,49ers,Robbie Gould 47 yard field goal,6,6
,0:00,49ers,Robbie Gould 50 yard field goal,6,9
3.0,9:08,Cowboys,Brett Maher 25 yard field goal,9,9
4.0,14:58,49ers,Christian McCaffrey 2 yard rush (Robbie Gould kick),9,16
,11:03,Cowboys,Brett Maher 43 yard field goal,12,16
,3:04,49ers,Robbie Gould 28 yard field goal,12,19
