Unnamed: 0,DAL,SFO
First Downs,15,21
Rush-Yds-TDs,22-76-0,32-113-1
Cmp-Att-Yd-TD-INT,23-37-206-1-2,19-29-214-0-0
Sacked-Yards,1-0,2-15
Net Pass Yards,206,199
Total Yards,282,312
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,7-50,3-30
Third Down Conv.,5-15,7-14
Fourth Down Conv.,2-2,0-0
Time of Possession,27:07,32:53
