Unnamed: 0,LAR,NOR
First Downs,23,31
Rush-Yds-TDs,19-92-1,34-141-2
Cmp-Att-Yd-TD-INT,28-40-391-3-1,25-36-346-4-0
Sacked-Yards,0-0,0-0
Net Pass Yards,391,346
Total Yards,483,487
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,4-32,2-20
Third Down Conv.,3-8,7-12
Fourth Down Conv.,0-2,2-2
Time of Possession,26:19,33:41
