Unnamed: 0,GNB,MIN
First Downs,20,15
Rush-Yds-TDs,23-83-1,22-30-0
Cmp-Att-Yd-TD-INT,20-36-213-1-1,22-31-286-2-0
Sacked-Yards,5-33,4-32
Net Pass Yards,180,254
Total Yards,263,284
Fumbles-Lost,4-2,2-1
Turnovers,3,1
Penalties-Yards,6-72,13-137
Third Down Conv.,6-13,4-14
Fourth Down Conv.,0-1,1-2
Time of Possession,29:42,30:18
