Quarter,Time,Tm,Detail,SFO,JAX
1.0,1:55,49ers,Robbie Gould 20 yard field goal,3,0
2.0,11:24,49ers,Deebo Samuel 25 yard rush (Robbie Gould kick),10,0
,8:25,49ers,Brandon Aiyuk 6 yard pass from Jimmy Garoppolo (Robbie Gould kick),17,0
,1:53,Jaguars,Matthew Wright 30 yard field goal,17,3
,0:00,49ers,Robbie Gould 48 yard field goal,20,3
3.0,8:49,49ers,George Kittle 1 yard pass from Jimmy Garoppolo (Robbie Gould kick),27,3
4.0,5:33,49ers,Robbie Gould 45 yard field goal,30,3
,3:04,Jaguars,James Robinson 1 yard rush (Matthew Wright kick),30,10
