Unnamed: 0,SFO,JAX
First Downs,25,14
Rush-Yds-TDs,42-171-1,16-54-1
Cmp-Att-Yd-TD-INT,16-22-176-2-0,16-25-158-0-0
Sacked-Yards,2-14,3-12
Net Pass Yards,162,146
Total Yards,333,200
Fumbles-Lost,1-0,2-2
Turnovers,0,2
Penalties-Yards,1-12,8-56
Third Down Conv.,6-12,5-11
Fourth Down Conv.,1-1,1-1
Time of Possession,38:22,21:38
