Quarter,Time,Down,ToGo,Location,NYG,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Nate Kaeding kicks off 76 yards, touchback",0.000,0.280
1,15:00,1,10,NYG 20,0,0,"Penalty on Luke Petitgout: False Start, 5 yards (no play)",0.280,-0.310
1,15:00,1,15,NYG 15,0,0,Tiki Barber right tackle for 5 yards (tackle by Terrence Kiel and Donnie Edwards),-0.310,-0.270
1,14:23,2,10,NYG 20,0,0,Eli Manning pass complete to Jeremy Shockey for 32 yards (tackle by Randall Godfrey),-0.270,2.390
1,13:58,1,10,SDG 48,0,0,Tiki Barber right tackle for 9 yards (tackle by Randall Godfrey),2.390,3.060
1,13:02,2,1,SDG 39,0,0,Tiki Barber up the middle for 2 yards (tackle by Donnie Edwards),3.060,3.120
1,12:24,1,10,SDG 37,0,0,Eli Manning pass complete to Tiki Barber for 5 yards (tackle by Steve Foley and Jacques Cesaire),3.120,3.250
1,11:44,2,5,SDG 32,0,0,Eli Manning pass incomplete intended for Tim Carter (defended by Luis Castillo),3.250,2.540
1,11:41,3,5,SDG 32,0,0,Eli Manning pass complete to Jeremy Shockey for 6 yards (tackle by Terrence Kiel),2.540,3.840
1,11:01,1,10,SDG 26,0,0,Eli Manning pass complete to Amani Toomer for 12 yards (tackle by Terrence Kiel and Donnie Edwards),3.840,4.650
1,10:24,1,10,SDG 14,0,0,Tiki Barber left tackle for 9 yards (tackle by Drayton Florence),4.650,5.670
1,9:40,2,1,SDG 5,0,0,Tiki Barber up the middle for no gain (tackle by Jamal Williams and Donnie Edwards),5.670,4.960
1,9:01,3,1,SDG 5,0,0,Brandon Jacobs up the middle for no gain (tackle by Donnie Edwards and Stephen Cooper),4.960,3.030
1,8:31,4,1,SDG 5,3,0,Jay Feely 22 yard field goal good,3.030,3.000
1,,,,NYG 30,3,0,"Jay Feely kicks off 67 yards, returned by Darren Sproles for 32 yards (tackle by Willie Ponder)",0.000,1.270
1,8:20,1,10,SDG 35,3,0,Drew Brees pass complete to Antonio Gates for 19 yards (tackle by Osi Umenyiora and Brent Alexander),1.270,2.520
1,7:45,1,10,NYG 46,3,0,Drew Brees pass complete to LaDainian Tomlinson for 9 yards (tackle by Gibril Wilson),2.520,3.190
1,7:19,2,1,NYG 37,3,0,LaDainian Tomlinson left end for 13 yards (tackle by Will Allen),3.190,3.970
1,6:55,1,10,NYG 24,3,0,LaDainian Tomlinson up the middle for 3 yards (tackle by Osi Umenyiora),3.970,3.840
1,6:24,2,7,NYG 21,3,0,Drew Brees pass complete to LaDainian Tomlinson for 4 yards (tackle by Reggie Torbor),3.840,3.750
1,5:39,3,3,NYG 17,3,0,Drew Brees pass complete to Eric Parker for 9 yards (tackle by Curtis DeLoatch),3.750,5.370
1,5:04,1,8,NYG 8,3,0,LaDainian Tomlinson left end for 7 yards (tackle by Gibril Wilson),5.370,5.910
1,4:27,2,1,NYG 1,3,6,"LaDainian Tomlinson up the middle for 1 yard, touchdown",5.910,7.000
1,,,,NYG 2,3,7,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,3,7,"Nate Kaeding kicks off 69 yards, returned by Willie Ponder for 41 yards (tackle by Jerry Wilson)",0.000,1.730
1,4:14,1,10,NYG 42,3,7,Eli Manning pass complete to Jeremy Shockey for 11 yards (tackle by Terrence Kiel),1.730,2.460
1,3:39,1,10,SDG 47,3,7,Eli Manning pass incomplete intended for Tim Carter (defended by Drayton Florence),2.460,1.910
1,3:32,2,10,SDG 47,3,7,Tiki Barber for -5 yards (tackle by Steve Foley),1.910,0.560
1,2:49,3,15,NYG 48,3,7,Eli Manning pass complete to Amani Toomer for 10 yards (tackle by Quentin Jammer),0.560,0.460
1,2:11,4,5,SDG 42,3,7,"Jeff Feagles punts 31 yards, returned by Darren Sproles for 4 yards (tackle by James Butler)",0.460,0.220
1,2:00,1,10,SDG 15,3,7,Drew Brees pass complete to Keenan McCardell for 12 yards (tackle by Will Allen),-0.220,0.740
1,1:28,1,10,SDG 27,3,7,"Penalty on William Joseph: Encroachment, 5 yards (no play)",0.740,1.470
1,1:14,1,5,SDG 32,3,7,Drew Brees pass complete to Eric Parker for 3 yards (tackle by Will Allen and Will Allen),1.470,1.280
1,0:40,2,2,SDG 35,3,7,LaDainian Tomlinson up the middle for 8 yards (tackle by Gibril Wilson and Will Allen),1.280,1.800
Quarter,Time,Down,ToGo,Location,NYG,SDG,Detail,EPB,EPA
